"","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume"
"2014-03-13",81.16,81.44,79.94,80.15,1558540
"2014-03-20",79.94,80.7,79.81,80.69,841223
"2014-03-27",77.41,77.96,76.91,77.58,1893130
"2014-04-03",79,79.43,78.08,78.58,2007268
"2014-04-10",75.04,75.16,73.44,73.59,1791478
"2014-04-17",74.07,74.75,73.66,74.03,1463251
"2014-04-24",75.08,77.27,74.01,74.16,1488151
"2014-05-01",75.69,76.77,75.42,75.93,1356585
"2014-05-08",74.32,75.48,73.82,74.62,1266450
"2014-05-15",74.94,75.46,73.74,74.08,1623869
"2014-05-22",77.28,78.82,77.16,78.32,1975283
"2014-05-29",79.09,79.73,78.9,79.11,1484641
"2014-06-05",79.2,79.66,78.81,79.36,1623397
"2014-06-12",78.88,79.21,78.7,78.91,1375646
"2014-06-19",81.99,81.99,78.84,79.29,1082413
"2014-06-26",81.25,81.25,80.21,80.96,1276552
"2014-07-03",81.2,82.46,81.08,82.23,1036201
"2014-07-10",80.11,80.77,80.06,80.42,1078093
"2014-07-17",81.12,81.62,80.73,80.78,1191037
"2014-07-24",82.06,83.09,81.99,82.59,1354467
"2014-07-31",83.02,83.18,81.88,81.97,1638713
"2014-08-07",81.14,81.76,80.58,80.84,735172
"2014-08-14",83.48,83.88,83.19,83.8,1089775
"2014-08-21",85.15,85.89,84.73,85.81,1699332
"2014-08-28",82.59,83.6,82.21,83.36,1750772
"2014-09-04",82.93,82.93,82.01,82.26,1230752
"2014-09-11",84.37,85.37,84.27,85.16,1453461
"2014-09-18",84.54,85.68,84.37,85.66,1241167
"2014-09-25",86.27,86.5,84.81,84.85,2106666
"2014-10-02",85.03,85.44,83.32,84.52,2613552
"2014-10-09",83.68,83.68,81.42,81.81,1796065
"2014-10-16",78.15,79.32,78.01,78.64,1527128
"2014-10-23",82.96,83.88,82.06,83.53,1323541
"2014-10-30",85.68,87.07,85.58,86.83,893557
"2014-11-06",88.87,89.19,88.48,89.13,950111
"2014-11-13",89.87,90.45,89.49,90.44,1133897
"2014-11-20",91.06,91.07,90.41,90.73,1677474
"2014-12-04",93.46,93.91,92.97,93.87,903945
"2014-12-11",93.14,94.06,92.57,93.37,2186011
"2014-12-18",92.8,94.48,92.09,94.48,3064749
"2015-01-08",89.18,90.63,89.12,89.86,1954769
"2015-01-15",86.15,86.64,84.89,85.08,910588
"2015-01-22",86.93,89.26,86.27,88.79,2997443
"2015-01-29",87.32,88.79,87.04,88.45,1617449
"2015-02-05",90.47,91.8,90.2,91.71,1084497
"2015-02-12",89.18,89.69,88.68,89.39,1969325
"2015-02-19",89.72,91.25,89.27,91.11,2810098
"2015-02-26",97.53,98.07,97.28,97.68,1061035
"2015-03-05",97.58,98.18,96.83,98.12,1121647
"2015-03-12",95.4,96.74,95.24,96.68,793999
"2015-03-19",99.81,100.38,99.78,99.78,1194984
"2015-03-26",96.74,97.6,96.32,96.94,788287
"2015-04-02",97.69,98.71,97.35,98.5,1081713
"2015-04-09",97.88,98.4,97.29,97.92,806347
"2015-04-16",97.29,97.48,96.91,97.39,1465029
"2015-04-23",99.78,101.95,99.56,101.44,1526902
"2015-04-30",100.7,101.72,99.81,100.33,1267840
"2015-05-07",99.72,100.42,99.4,100.07,821694
"2015-05-14",102.9,103.85,102.49,103.82,1134697
"2015-05-21",103.62,104.74,103.22,104.16,2266473
"2015-05-28",104.75,105.22,104.49,105.09,1051249
"2015-06-04",106.63,106.88,105.05,105.46,1063642
"2015-06-11",107.93,107.95,105.77,105.83,2473211
"2015-06-18",103.75,104.53,103.62,104.39,1533823
"2015-06-25",103.36,104.18,102.92,103.6,1407266
"2015-07-02",102.03,102.03,100.62,101.41,779064
"2015-07-09",104.47,105.1,103.53,103.58,1347424
"2015-07-16",107.23,108.11,106.88,108.1,1003676
"2015-07-23",106.87,107.89,106.52,107.25,792936
"2015-07-30",104.94,106.06,103.98,105.74,593805
"2015-08-06",106.99,107.45,104.05,104.17,1176069
"2015-08-13",105.02,105.34,103.76,104.9,767059
"2015-08-20",105.27,105.62,102.72,102.93,1437657
"2015-08-27",84.39,86.63,83.63,86.6,4226849
"2015-09-03",85.88,86.97,85.48,86.04,3225300
"2015-09-10",87,88.87,86.48,88.3,4095372
"2015-09-17",86.9,87.37,85.28,85.77,6850854
"2015-09-24",86.83,88.43,86.65,87.86,2891194
"2015-10-01",88.66,89.72,87.83,88.86,2579536
"2015-10-08",90.71,92.42,90,92.29,1372155
"2015-10-15",91.05,92.48,90.82,92.43,2137275
"2015-10-22",94.43,97.3,94.36,96.86,1496344
"2015-10-29",97.9,98.27,97.58,97.74,1285382
"2015-11-05",99.21,99.5,97.41,97.78,1348924
"2015-11-12",99.17,99.79,98,98.05,835445
"2015-11-19",96.93,97.68,95.79,97.42,3924660
"2015-12-03",99.46,99.91,95.94,96.38,2879563
"2015-12-10",98.02,98.54,96.96,96.99,1760282
"2015-12-17",99.31,99.99,97.87,97.87,1597424
"2015-12-24",97.9,98.06,97.3,97.59,327175
"2015-12-31",97.83,98.33,96.48,96.5,1189462
"2016-01-07",94.5,96.42,93.24,94.44,2477736
"2016-01-14",92.31,95.47,91.14,94.32,2536493
"2016-01-21",92.8,93.67,91.21,91.95,1461686
"2016-01-28",91.73,92.22,90.7,92.02,1141639
"2016-02-04",95.78,96.93,94.85,96.75,1647482
"2016-02-11",88.17,92.07,88.17,91.41,1981761
"2016-02-18",97.79,98.66,96.1,96.47,1753623
"2016-02-25",99.1,100.16,97.94,100.07,2315701
"2016-03-03",98.06,98.48,96.39,97.71,1851487
"2016-03-10",99.55,100.27,96.85,98.02,1677855
"2016-03-17",100.11,101.22,99.6,100.83,1383591
"2016-03-24",101.38,102.12,100.69,101.89,1328727
"2016-03-31",102.75,104.51,102.47,104.01,2229869
