"","D.Open","D.High","D.Low","D.Close","D.Volume"
"2015-11-19",68.7,69.23,68.48,68.82,1744694
"2015-11-20",69.06,69.62,68.66,69,2918035
"2015-11-23",68.31,68.6,67.5,67.58,2079764
"2015-11-24",67.38,67.62,66.85,67.48,1997922
"2015-11-25",67.41,67.59,67.01,67.22,1364613
"2015-11-27",67.21,67.78,67.17,67.37,824828
"2015-11-30",67.4,67.83,67.29,67.37,2427976
"2015-12-01",67.87,68.04,66.76,67.41,2284877
"2015-12-02",67.28,67.36,66.05,66.14,2609187
"2015-12-03",65.96,66.03,65.04,65.17,2918641
"2015-12-04",65.54,66.69,65.44,66.6,2828075
"2015-12-07",66.36,66.6,66.01,66.14,2880894
"2015-12-08",66,66.18,65.16,65.91,2956939
"2015-12-09",65.65,66.72,65.4,66.19,2855172
"2015-12-10",66.13,66.24,65.14,65.2,1961006
"2015-12-11",64.92,65.44,64.54,64.89,2105187
"2015-12-14",64.81,65.44,64.55,65.4,2619071
"2015-12-15",65.6,66.7,65.42,66.15,2284379
"2015-12-16",66.5,67.63,66.31,67.57,3215256
"2015-12-17",67.5,67.96,67.1,67.54,2785548
"2015-12-18",67.22,67.45,66.53,66.9,4921407
"2015-12-21",67.38,67.44,66.18,66.56,2448842
"2015-12-22",66.87,67.23,66.16,67.14,1935822
"2015-12-23",67.2,68.14,67.2,68.08,2334699
"2015-12-24",67.96,68.04,67.65,67.77,738430
"2015-12-28",67.66,68,67.42,67.86,1807930
"2015-12-29",68.01,68.87,67.95,68.64,1961157
"2015-12-30",68.54,68.92,68.35,68.68,1634941
"2015-12-31",68.56,68.6,67.02,67.64,2119238
"2016-01-04",66.97,67.51,66.33,67.47,3889851
"2016-01-05",67.29,68.12,66.25,68.05,2476032
"2016-01-06",67.57,68.87,67.33,68.47,2670701
"2016-01-07",67.67,68.71,67.6,68.51,4011835
"2016-01-08",68.48,69.9,68.38,69.52,5391482
"2016-01-11",69.59,69.93,69.31,69.41,3989760
"2016-01-12",69.64,69.88,68.51,68.9,4318317
"2016-01-13",69.04,69.49,68.86,69.02,3630889
"2016-01-14",68.97,69.97,68.85,69.67,3262417
"2016-01-15",69,69.44,68.18,68.88,3954576
"2016-01-19",69.23,70.06,68.69,69.9,3017968
"2016-01-20",69.45,69.75,67.94,68.73,3772635
"2016-01-21",69.05,69.05,67.97,68.49,2268669
"2016-01-22",69.14,69.83,68.52,69.76,2117953
"2016-01-25",69.79,70.14,69.27,69.56,2277407
"2016-01-26",69.58,70.56,69.44,69.72,2075527
"2016-01-27",69.61,70.12,69.17,69.71,2317361
"2016-01-28",69.7,71.51,69.43,70.94,3579613
"2016-01-29",71.48,72.2,71.03,72.17,3447612
"2016-02-01",70.27,71.42,69.94,70.18,10792878
"2016-02-02",69.24,70.11,68.62,69.89,6003551
"2016-02-03",70.05,70.42,69.28,69.93,5527671
"2016-02-04",70.07,71.16,69.62,70.43,3997144
"2016-02-05",70.34,71.43,69.69,71.06,3745592
"2016-02-08",70.13,70.89,69.08,69.49,5677419
"2016-02-09",69.49,70.87,69.16,70.43,3744818
"2016-02-10",70.18,70.74,69.05,70.29,3252914
"2016-02-11",69.95,70.49,69.11,69.21,2847952
"2016-02-12",69.34,69.64,68.45,68.94,2896571
"2016-02-16",69.49,69.56,68.56,69.15,2353915
"2016-02-17",69.46,69.83,68.8,69.77,2580637
"2016-02-18",69.31,70.2,69.19,69.75,6187398
"2016-02-19",69.55,69.77,69,69.46,4156575
"2016-02-22",69.78,70.78,69.62,70.74,2529011
"2016-02-23",70.39,71.19,70.27,70.88,2546726
