"","MHK.Open","MHK.High","MHK.Low","MHK.Close","MHK.Volume"
"2015-10-01",182.96,186.72,180.88,186.13,1584909
"2015-10-08",194.1,197.77,193.91,197.52,1172617
"2015-10-15",190.58,192.05,187.35,191.49,784029
"2015-10-22",195.42,198.54,194.01,196.26,823034
"2015-10-29",196.09,196.3,188.03,192.39,1240078
"2015-11-05",198,199.18,194.74,197.46,1186065
"2015-11-12",186.46,186.46,184.21,184.56,707156
"2015-11-19",189.31,191.66,188.86,191.38,768711
"2015-12-03",190.4,190.4,183.14,184.14,713156
"2015-12-10",190.91,192.48,188.75,190.7,467207
"2015-12-17",200.35,200.36,193.22,193.34,685182
"2015-12-24",192.13,192.95,190.52,190.71,227909
"2015-12-31",189.29,191.1,188.78,189.39,404941
"2016-01-07",178.44,181.18,175.82,176.75,710207
"2016-01-14",169.66,172.36,167.01,170.57,780854
"2016-01-21",163.09,166.93,162.2,165.25,977434
"2016-01-28",166.12,167.71,162.7,163.38,580530
"2016-02-04",161.27,165.73,160.66,165.03,665038
"2016-02-11",155.51,156.66,151.3,152.82,716112
"2016-02-18",163.08,164.29,160.99,163.07,614799
"2016-02-25",170.43,173.37,166.97,171.04,1187621
"2016-03-03",185.19,187.48,184.87,186.89,824095
"2016-03-10",180.92,182.63,178.06,180.29,519283
"2016-03-17",183.4,186.59,182.72,186.5,620919
"2016-03-24",185.07,187.05,184.43,186.82,370277
"2016-03-31",190.9,192.08,189.34,190.9,498265
"2016-04-07",192.17,193.75,190.35,191.78,558311
"2016-04-14",198.47,198.82,196.37,196.69,464363
"2016-04-21",199.36,200.41,196.67,196.8,335173
"2016-04-28",195.59,196.98,192.38,192.83,478737
"2016-05-05",192.4,196.07,192.21,193.53,978730
"2016-05-12",197.74,197.74,194.14,195.98,327752
"2016-05-19",191.51,193.29,189.55,191.17,361203
"2016-05-26",196.64,197,195.51,196,286324
"2016-06-02",197.96,199.11,196.85,199.11,310174
"2016-06-09",200,200.69,198.56,199.47,314758
"2016-06-16",191.53,193.16,190.36,192.81,280702
"2016-06-23",197.52,197.95,195.87,197.85,286884
"2016-06-30",188.95,190.36,186.52,189.76,554867
"2016-07-07",188.79,190.04,187.05,189.2,376019
"2016-07-14",198.44,198.48,196.58,197.43,257855
"2016-07-21",201.01,201.47,198.13,198.88,549461
"2016-07-28",204.9,207.27,204.9,207,611600
"2016-08-04",208.58,208.59,206.16,207.7,848726
"2016-08-11",212.3,213.15,211.36,211.83,468281
"2016-08-18",209.26,210.93,207.57,209.79,388314
"2016-08-25",209.96,211.92,209.8,211.13,340790
"2016-09-01",212.86,213.55,210.71,212.75,409582
"2016-09-08",215.81,216.02,211.38,211.38,648711
"2016-09-15",203.97,207.04,203.37,206.54,331171
