"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume"
"2014-11-20",67.09,68.24,66.8,68.01,1064451
"2014-12-04",66.82,67.71,66.6,67.42,1067683
"2014-12-11",63.35,64.01,62.9,63.05,976066
"2014-12-18",65.09,65.6,63.8,65.43,1025795
"2015-01-08",66.86,68.64,66.81,68.28,1383252
"2015-01-15",68.14,68.28,65.94,66.22,1019308
"2015-01-22",68.75,70,67.75,69.92,1793642
"2015-01-29",69.99,71.56,69.53,71.34,1328662
"2015-02-05",73.37,75.36,73.11,74.01,2129899
"2015-02-12",78.48,79.88,78.26,79.41,1256087
"2015-02-19",80.98,82.24,80.68,81.26,850451
"2015-02-26",83,83.49,82.23,82.39,1291863
"2015-03-05",84.74,85.36,84.45,84.97,1161341
"2015-03-12",83.73,85.3,83.63,85.1,1141615
"2015-03-19",85.57,85.88,83.96,84.2,930054
"2015-03-26",83.46,84.32,83.02,84.01,738420
"2015-04-02",84,85.01,83.66,84.31,870809
"2015-04-09",82.83,83.61,82.31,82.79,767422
"2015-04-16",83.7,83.74,82.36,82.75,1148228
"2015-04-23",80.88,82.6,80.66,82.33,1050939
"2015-04-30",83.08,86.23,83.08,85.52,1937474
"2015-05-07",86.95,89.93,86.84,89.5,1422511
"2015-05-14",91.57,92.85,90.78,92.72,1105949
"2015-05-21",91.86,92.24,91.34,91.85,545969
"2015-05-28",90.48,90.78,89.79,90.5,513894
"2015-06-04",88.39,88.98,87.64,88.62,1242082
"2015-06-11",89.8,90.25,89.22,89.46,563082
"2015-06-18",87.86,89.02,87.52,88.88,647917
"2015-06-25",88.03,88.03,86.38,86.58,624918
"2015-07-02",85.77,85.97,84.76,85.37,528542
"2015-07-09",86.48,87.01,85.78,85.92,891647
"2015-07-16",89.46,91.02,88.96,90.7,1117837
"2015-07-23",94.12,94.22,91.51,91.89,1004444
"2015-07-30",90.74,91.55,90.19,91.5,624459
"2015-08-06",97.75,97.75,94.47,95.3,1276826
"2015-08-13",97.57,97.75,96.19,96.89,517331
"2015-08-20",95.9,96.38,93.17,93.39,1268143
"2015-08-27",88.44,92.08,88.13,91.61,2615852
"2015-09-03",96.52,99.2,95.26,97.43,2364392
"2015-09-10",98.67,99.72,97.89,98.25,1276192
"2015-09-17",101.28,102.65,100.5,101.2,816482
"2015-09-24",92.5,92.96,89.32,92.33,2261963
"2015-10-01",89.57,93.16,89.37,92.93,1977670
"2015-10-08",93.96,96.05,93.22,95.49,999830
"2015-10-15",90.79,92.25,89.7,91.49,1973379
"2015-10-22",88.63,93.55,87.84,93.31,1859094
"2015-10-29",94.22,95.02,93.68,94.84,649700
"2015-11-05",97.22,102.21,96.78,101.59,2373590
"2015-11-12",100.83,101.78,98.89,99.02,781449
"2015-11-19",103.65,105.77,103.17,104.75,918094
"2015-12-03",103.07,103.14,97.86,98.61,1531629
"2015-12-10",94.46,96.82,92.86,95.63,1618282
"2015-12-17",97.61,97.66,94.66,94.7,737094
