"","AIV.Open","AIV.High","AIV.Low","AIV.Close","AIV.Volume"
"2014-03-13",30.43,30.48,30,30.15,1026376
"2014-03-20",29.65,30.2,29.48,30.2,1079951
"2014-03-27",29.82,29.94,29.58,29.84,989189
"2014-04-03",30.13,30.27,29.9,30.16,1140490
"2014-04-10",30.08,30.16,29.52,29.6,2223135
"2014-04-17",29.62,29.72,29.41,29.63,1158969
"2014-04-24",30.12,30.52,30.02,30.5,1053867
"2014-05-01",30.86,31.17,30.47,31.15,1368081
"2014-05-08",31.74,32.18,31.68,31.78,1048794
"2014-05-15",30.93,31.03,30.66,30.92,1038558
"2014-05-22",31.04,31.22,30.9,31.05,1097277
"2014-05-29",31.39,31.52,31.27,31.41,633638
"2014-06-05",31.52,31.96,31.49,31.93,1440141
"2014-06-12",31.53,31.63,31.34,31.54,786311
"2014-06-19",31.82,32.02,31.71,31.99,1274450
"2014-06-26",32.26,32.26,32.1,32.24,473595
"2014-07-03",32.38,32.38,32.03,32.29,393757
"2014-07-10",32.74,33.14,32.69,33.05,674498
"2014-07-17",33.61,33.85,33.61,33.67,1188264
"2014-07-24",34,34.07,33.79,33.93,1398979
"2014-07-31",34.23,34.33,33.64,34.18,2415222
"2014-08-07",33.45,33.56,33,33.17,1033802
"2014-08-14",33.46,33.59,33.16,33.26,527746
"2014-08-21",34.15,34.36,34.03,34.14,390782
"2014-08-28",34,34.14,33.86,34.09,390949
"2014-09-04",34.69,34.81,34.39,34.52,741227
"2014-09-11",33.88,34.04,33.72,33.89,462516
"2014-09-18",33.01,33.15,32.44,32.52,767603
"2014-09-25",31.76,31.92,31.51,31.83,1101142
"2014-10-02",31.93,32.19,31.62,31.91,1169219
"2014-10-09",32.93,33.2,32.63,32.78,885982
"2014-10-16",33.73,33.99,33.42,33.76,1321172
"2014-10-23",34.48,34.75,34.28,34.59,1184978
"2014-10-30",34.24,34.73,34.06,34.49,1519462
"2014-11-06",36.28,36.54,35.89,35.93,909710
"2014-11-13",36.22,36.8,36.14,36.72,1398669
"2014-11-20",36.49,36.71,36.41,36.67,666923
"2014-12-04",36.84,37.16,36.74,37.1,828934
"2014-12-11",36.87,37.13,36.77,37.01,1412409
"2014-12-18",36.29,36.8,36.14,36.8,964426
"2015-01-08",38.98,39.34,38.69,39.34,1365167
"2015-01-15",39.54,39.74,39.36,39.45,1657328
"2015-01-22",40.11,40.5,39.84,40.5,1248401
"2015-01-29",40.82,41.13,40.55,40.79,927670
"2015-02-05",40.25,40.6,40.02,40.53,1601863
"2015-02-12",38.08,39.07,38.03,39.05,1386593
"2015-02-19",38.69,38.69,37.64,37.74,800726
"2015-02-26",37.45,37.45,36.83,37.1,1032409
"2015-03-05",37.56,38.03,37.56,37.75,741006
"2015-03-12",38.2,38.63,38.2,38.5,1021451
"2015-03-19",39.85,40.25,39.73,40.05,878468
"2015-03-26",39.31,39.54,39.12,39.28,689652
"2015-04-02",38.95,39.2,38.79,38.96,2475091
"2015-04-09",38.71,38.8,37.68,37.87,803063
"2015-04-16",37.22,37.8,37.08,37.65,673579
"2015-04-23",38.59,38.76,38.34,38.64,760521
"2015-04-30",38.22,38.53,37.46,37.73,1214531
"2015-05-07",37.86,38.63,37.79,38.4,1105735
"2015-05-14",37.48,38.01,37.44,37.9,1270075
"2015-05-21",38.01,38.09,37.69,37.78,864888
