"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume"
"2014-12-18",57.5,57.73,57.14,57.72,1928600
"2015-01-08",60.78,61.19,60.42,61.14,1797336
"2015-01-15",59.33,59.61,58.65,58.78,1791288
"2015-01-22",59.98,61,59.73,60.94,1629435
"2015-01-29",61.02,62.22,60.33,62.22,1365540
"2015-02-05",60.92,61.39,60.61,60.98,677427
"2015-02-12",60.56,61.45,59.93,61.41,1077290
"2015-02-19",62.17,62.65,62.01,62.32,1154435
"2015-02-26",64.4,64.5,64.05,64.38,882714
"2015-03-05",62.93,64.54,62.93,64.21,1087578
"2015-03-12",62.1,63.69,61.96,63.53,1372352
"2015-03-19",65.19,65.75,64.86,64.87,1893503
"2015-03-26",68.32,68.7,67.53,68.26,1796538
"2015-04-02",67.9,68.02,67.28,67.45,1979925
"2015-04-09",67.22,67.51,66.47,67.18,2235976
"2015-04-16",67.01,67.34,66.24,66.43,1313347
"2015-04-23",65.48,66,64.92,65.81,1746056
"2015-04-30",64.13,64.62,63.5,63.77,1476412
"2015-05-07",61.82,63.37,61.66,63.07,1575230
"2015-05-14",63.13,63.54,62.56,63.39,946894
"2015-05-21",64.16,64.67,64.06,64.57,814040
"2015-05-28",64.92,65.6,64.72,64.94,1988798
"2015-06-04",65.17,65.27,64.22,64.39,1291053
"2015-06-11",67.09,67.61,66.84,67.05,997786
"2015-06-18",68.76,69.4,68.54,69.16,987425
"2015-06-25",71.54,72.08,71.17,71.23,1706722
"2015-07-02",70.66,70.89,69.92,70.31,1459795
"2015-07-09",72.2,72.87,71.48,71.56,1916614
"2015-07-16",71.7,73,71.5,72.95,1375298
"2015-07-23",75,75.6,74.46,74.87,1881474
"2015-07-30",73.08,74.05,72.4,73.8,1094896
"2015-08-06",74.34,74.82,70.23,70.8,2769222
"2015-08-13",70.74,72.66,70.71,71.95,845667
"2015-08-20",72.07,72.9,71.55,71.61,1407498
"2015-08-27",68.51,69.7,67.93,68.85,1727621
"2015-09-03",69.19,69.65,69.02,69.21,1702276
"2015-09-10",69.08,70.03,68.8,69.67,1122957
"2015-09-17",69.3,71.38,69.09,70.28,2765278
"2015-09-24",70.78,71.67,69.94,71.46,1659583
"2015-10-01",68.54,69,67.7,68.42,1510380
"2015-10-08",65.85,67.17,65.29,66.76,2601873
"2015-10-15",63.79,64.02,62.58,63.8,2113674
"2015-10-22",63.4,64.12,62.47,64.09,1479515
"2015-10-29",64.39,64.39,62.12,62.43,2016585
"2015-11-05",61.45,61.82,61.01,61.78,1006358
"2015-11-12",56.12,58.65,55.04,55.13,2017952
"2015-11-19",54.24,54.83,53.89,54.42,1271638
"2015-12-03",56.42,56.97,55.01,55.2,1632825
"2015-12-10",58.22,58.7,57.58,57.75,1715306
"2015-12-17",59.4,60.05,58.39,58.39,2216271
"2015-12-24",64.45,64.84,64.3,64.56,623103
"2015-12-31",64.13,64.24,63.58,63.64,857545
"2016-01-07",62.28,63.16,62.07,62.48,2587021
"2016-01-14",61.85,62.01,60.2,61.67,2592739
"2016-01-21",59.5,60.74,58.89,60.32,2696539
"2016-01-28",62.56,63.98,62.26,63.26,2442069
"2016-02-04",61.65,62.09,61,61.52,1704140
"2016-02-11",57.08,57.94,55.77,57.14,3803249
"2016-02-18",61.22,61.86,60.62,61.52,1630774
"2016-02-25",63.37,63.88,62.86,63.74,884388
"2016-03-03",64.51,65,63.52,64.82,1652242
"2016-03-10",67.07,67.4,66.41,67.12,1907157
"2016-03-17",67.36,67.99,66.81,67.58,1451416
"2016-03-24",66.47,66.47,65.29,65.77,1302032
"2016-03-31",66.38,66.76,65.59,66.3,1936830
"2016-04-07",64.85,66.43,64.33,64.68,2972603
"2016-04-14",65.48,65.66,64.55,64.85,2107215
"2016-04-21",63.45,64.15,62.79,62.79,1989639
"2016-04-28",63.04,63.63,62.11,63.15,1703510
"2016-05-05",63.53,64.02,62.82,62.97,1300223
"2016-05-12",63.36,64.15,62.96,63.81,1381917
"2016-05-19",62.89,65.91,62.89,65.9,3373596
"2016-05-26",66.7,67.66,66.54,67.28,1976371
"2016-06-02",67.25,67.98,66.98,67.8,1278060
"2016-06-09",67.51,68.68,67.43,68.33,1589513
"2016-06-16",67.25,67.68,67.08,67.53,1083418
"2016-06-23",67.67,67.99,67.42,67.98,1044313
"2016-06-30",64.09,64.27,62.53,63.34,6361415
"2016-07-07",61.7,62.46,61.68,62.07,2174647
"2016-07-14",63.17,63.87,62.85,63.15,3176365
"2016-07-21",62.54,62.77,61.82,61.99,2009803
"2016-07-28",59.52,61.25,59.5,61.13,1984429
"2016-08-04",60.95,61.6,60.82,61.05,1688223
"2016-08-11",62,62.73,61.66,62.67,2314124
"2016-08-18",62.28,62.74,62.12,62.62,1374831
"2016-08-25",62.96,63.21,62.83,63,1372438
"2016-09-01",61.65,61.9,61.16,61.89,1326702
"2016-09-08",62.94,63.12,62.41,62.42,1006374
"2016-09-15",61.56,62.16,61.22,62.12,1576447
