"","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume"
"2015-07-16",90.97,91.02,90.58,90.87,428247
"2015-07-23",87.94,88.71,87.59,87.97,550679
"2015-07-30",88.36,89.08,87.9,88.61,604591
"2015-08-06",88.99,89.25,87.95,88.71,577602
"2015-08-13",87.58,88.5,87.19,88.06,313903
"2015-08-20",86.64,86.73,85.68,85.68,543012
"2015-08-27",81.78,83.67,81.57,83.53,761086
"2015-09-03",81.75,82.87,81.62,81.87,535403
"2015-09-10",82.85,83.64,82.4,83.17,579815
"2015-09-17",85.87,86.22,84.76,85.06,732916
"2015-09-24",82.06,83.56,81.81,83.4,842263
"2015-10-01",82.56,82.87,80.25,81.48,1389602
"2015-10-08",84.32,86.26,84.32,85.96,577503
"2015-10-15",83.61,83.84,82.25,83.72,750187
"2015-10-22",86.9,88.83,86.7,88.34,1141758
"2015-10-29",90.05,90.32,89.22,90.21,620294
"2015-11-05",91.4,92.32,91.08,91.95,813349
"2015-11-12",88.88,89.16,87.21,87.26,1103188
"2015-11-19",88.65,89.63,88.13,89.01,774286
"2015-12-03",88.64,88.77,87.4,88.12,957039
"2015-12-10",87.31,87.92,86.99,87.57,526760
"2015-12-17",87.09,87.16,85.85,85.87,540276
"2015-12-24",85.88,86.46,85.85,86.1,175398
"2015-12-31",86.31,86.65,85.77,85.89,550886
"2016-01-07",81.13,82.3,80.64,80.88,802393
"2016-01-14",77.62,79.1,76.99,78.5,1019961
"2016-01-21",79.15,80.69,78.49,79.22,798228
"2016-01-28",82.78,83.42,81.61,83.35,724920
"2016-02-04",83.45,86.1,83.45,86.03,1035515
"2016-02-11",85.31,86.98,84.78,86.44,1404162
"2016-02-18",90.14,91.28,89.93,90.79,1088788
"2016-02-25",91.6,92.12,90.73,91.87,675602
"2016-03-03",93.63,94.06,93.01,93.93,565804
"2016-03-10",94.17,94.29,92.93,93.92,544074
"2016-03-17",95.85,98.54,95.49,98.41,1332404
"2016-03-24",97.13,97.8,96.93,97.72,605416
"2016-03-31",99.12,99.59,98.51,99.36,681040
"2016-04-07",97.83,98.1,96.38,96.91,518315
"2016-04-14",99.29,99.5,98.1,98.42,811343
"2016-04-21",96.73,97.02,95.78,96.19,727971
"2016-04-28",97.6,98.21,97.11,97.34,483244
"2016-05-05",96.36,97.27,95.85,95.96,631246
"2016-05-12",96.32,97.26,96.31,97.11,566865
"2016-05-19",92.93,93.97,92.25,93.48,700656
