"","NTAP.Open","NTAP.High","NTAP.Low","NTAP.Close","NTAP.Volume"
"2015-10-22",33.56,34.4,33.34,34.38,2745520
"2015-10-29",33.73,34.06,33.61,33.76,1730763
"2015-11-05",33.95,34.6,33.93,34.2,3309708
"2015-11-12",31.69,32.44,31.69,31.84,4140625
"2015-11-19",31.35,31.48,30.12,30.97,7176865
"2015-12-03",31.02,31.03,30.38,30.86,4044849
"2015-12-10",30.12,30.5,29.85,30.19,3178112
"2015-12-17",29.06,29.06,28.08,28.3,3897615
"2015-12-24",26.66,27.16,26.46,26.52,2460075
"2015-12-31",26.82,26.87,26.53,26.53,3371249
"2016-01-07",24.15,24.46,23.15,23.37,6396001
"2016-01-14",22.65,23.42,22.64,23.22,5978602
"2016-01-21",21.47,21.8,21.11,21.35,3499934
"2016-01-28",21.52,21.62,21.26,21.48,4165976
"2016-02-04",21.76,23.15,21.47,22.58,3612208
"2016-02-11",21.96,22.04,21.22,21.73,5533463
"2016-02-18",22.97,24.33,22.9,23.93,9784940
"2016-02-25",24.97,24.97,24.44,24.63,4072051
"2016-03-03",25.76,26.17,25.43,26.07,3092383
"2016-03-10",25.77,26.59,25.77,26.33,3333321
"2016-03-17",26.38,26.76,26.27,26.66,2107281
"2016-03-24",26.26,26.44,25.66,26.34,1841427
"2016-03-31",26.71,27.3,26.66,27.29,3146395
"2016-04-07",26.35,26.53,25.54,25.72,3164495
"2016-04-14",26.29,26.29,25.22,25.64,3447677
"2016-04-21",24.17,24.3,24.09,24.11,2849330
"2016-04-28",24.65,24.69,24.28,24.31,2582742
"2016-05-05",22.98,23.1,22.77,22.82,3249047
"2016-05-12",23.47,23.54,22.83,22.99,2753130
"2016-05-19",23.62,23.78,23.25,23.4,2056676
"2016-05-26",23.61,25.12,23.5,24.9,8044675
"2016-06-02",24.83,25.37,24.41,24.99,3169182
"2016-06-09",25.06,25.13,24.73,24.9,2168643
"2016-06-16",24.21,24.58,24.14,24.47,2466783
"2016-06-23",25.47,26.03,25.26,26.02,2376976
"2016-06-30",24.4,24.62,24.04,24.59,3496141
"2016-07-07",23.75,24.17,23.66,23.94,1943081
"2016-07-14",25.67,25.73,25.18,25.29,3154806
"2016-07-21",25.82,26.1,25.68,25.99,1708889
"2016-07-28",26.36,26.5,26.24,26.37,1443914
"2016-08-04",26.3,26.48,26.22,26.45,1030500
"2016-08-11",27.87,28.45,27.8,28.11,2343668
"2016-08-18",31.06,33.9,31.01,33.88,16247579
"2016-08-25",34.68,35.35,34.54,35.04,3383882
"2016-09-01",34.74,34.99,34.43,34.93,2336913
"2016-09-08",35.42,35.47,34.98,35.06,2581928
"2016-09-15",34.54,35.39,34.54,35.05,2942806
