"","DISH.Open","DISH.High","DISH.Low","DISH.Close","DISH.Volume"
"2013-06-27",40.6,42.11,40.31,41.44,5100435
"2013-07-11",42.21,42.58,41.69,42.05,3014368
"2013-07-18",46.3,46.89,46.02,46.63,2878502
"2013-07-25",44.94,44.96,43.92,44.23,3054390
"2013-08-01",44.59,45.32,44.13,45.01,3826777
"2013-08-08",44.94,45.23,44.34,44.89,2370863
"2013-08-15",45.04,45.04,44.09,44.29,3144027
"2013-08-22",44.19,44.91,43.98,44.69,1081469
"2013-08-29",44.58,44.76,44.28,44.36,1769060
"2013-09-05",49.44,49.44,45.8,46.31,1723041
"2013-09-12",47.03,47.18,46.71,46.96,1731302
"2013-09-19",48.16,48.26,47.53,47.81,1848089
"2013-09-26",47.31,47.31,44.31,44.44,3425249
"2013-10-03",47.93,48.24,46.68,46.83,3705314
"2013-10-10",47.19,47.88,47.09,47.68,1252834
"2013-10-17",48.22,49,48,48.89,1183384
"2013-10-24",49.11,49.59,48.82,49.28,1388127
"2013-10-31",47.8,48.84,47.52,48.22,2203228
"2013-11-07",49.03,49.3,48.11,48.2,2086600
"2013-11-14",51.57,51.57,50.64,51.06,2277100
"2013-11-21",49.53,50.43,49.31,50.1,5526651
"2013-12-05",53.56,54.2,53.37,54.09,1941277
"2013-12-12",53.47,54.2,52.75,53.03,3920574
"2013-12-19",55.09,56.31,55.06,55.83,2115729
"2013-12-26",57.32,57.84,57.13,57.61,956021
"2014-01-02",57.99,58.15,57.02,57.75,1724368
"2014-01-09",57.55,57.87,55.82,56.48,4491885
"2014-01-16",56.42,56.6,55.3,55.36,2163784
"2014-01-23",55.87,56.14,55.06,55.31,2012891
"2014-01-30",56.39,56.9,55.45,56.48,1743970
"2014-02-06",57.6,58.3,57.07,57.26,2110176
"2014-02-13",58.07,58.87,57.6,58.32,2346287
"2014-02-20",57.1,57.3,56.24,57.07,1986801
"2014-02-27",57.02,57.43,56.61,57.24,1245291
"2014-03-06",60.94,62.35,60.65,62.15,3039018
"2014-03-13",62.43,62.46,60.45,60.7,2876379
"2014-03-20",61.68,63.04,61.55,62.42,1369041
"2014-03-27",61.71,63.23,60.36,61.22,5218678
"2014-04-03",64.12,64.52,63.15,63.85,2027815
"2014-04-10",60.73,61.21,58.6,58.78,2326843
"2014-04-17",58.76,59.97,58.3,59.47,3137707
"2014-04-24",60.04,60.32,59.31,59.71,1119625
"2014-05-01",59.14,61.55,58.17,60.21,8884580
"2014-05-08",60.03,63.35,58.9,60.14,6059253
"2014-05-15",60.03,60.37,58.9,60.27,2301560
"2014-05-22",58.07,58.19,57.21,57.95,2307461
"2014-05-29",59.49,59.71,59.19,59.55,1616830
"2014-06-05",59.35,59.35,57.86,58.45,2639151
"2014-06-12",59.37,59.65,58.75,59.04,1143864
"2014-06-19",60,60,59.61,59.81,1794568
"2014-06-26",63.34,64.16,62.26,63.76,1986140
"2014-07-03",66.3,66.49,65.74,66.37,678864
"2014-07-10",64.95,65.7,64.86,65.15,1179521
"2014-07-17",65.42,65.86,64.42,64.83,1366975
"2014-07-24",63.74,63.92,63.04,63.41,1786723
"2014-07-31",62.58,63.2,60.91,61.87,2745109
"2014-08-07",63.1,63.37,62.12,62.36,2278392
"2014-08-14",63.31,64.37,63.13,64.36,1235510
"2014-08-21",64.41,65.37,63.86,65.35,1685530
"2014-08-28",64.53,66.63,64.14,64.73,1272085
"2014-09-04",65.71,66.23,65.39,65.84,1283885
"2014-09-11",65.64,66.52,65.25,66.3,1216441
"2014-09-18",66.62,66.84,65.06,65.54,2021413
"2014-09-25",63.7,63.72,63.02,63.47,1424222
"2014-10-02",63.43,63.71,62.09,63.58,2768551
"2014-10-09",63.96,64.38,63.06,63.45,1255997
"2014-10-16",57.94,58.1,56.99,57.96,4015639
"2014-10-23",60.41,61.56,60.04,61,1531805
"2014-10-30",61.77,62.46,61.29,62.29,1178263
"2014-11-06",63.43,64.11,62.79,63.66,1888316
"2014-11-13",64.08,64.91,63.56,64.67,1212528
"2014-11-20",73.87,74.18,72,72.22,5039464
"2014-12-04",72.93,73.28,72.13,72.93,3216070
"2014-12-11",70.72,71.89,70.31,70.61,1582034
"2014-12-18",70.96,73.6,70.96,72.39,2938578
"2015-01-08",69.14,71.26,69.14,70.22,1776117
"2015-01-15",70.66,71.22,69.65,70.19,1289283
"2015-01-22",72.02,74.4,71.86,74.32,3331763
"2015-01-29",71.51,73.79,70.78,73.48,2299236
"2015-02-05",76.71,77.22,75.76,76.75,1949192
"2015-02-12",76.66,77.48,75.94,77.36,1509010
"2015-02-19",76.61,77.73,76.16,77.56,1109239
"2015-02-26",76.76,77.74,76.23,76.76,1148462
"2015-03-05",76,76.12,75.19,75.81,977921
"2015-03-12",73.57,74.78,73.43,74.73,868948
"2015-03-19",74.66,75,74.09,74.38,620274
"2015-03-26",70.47,70.93,69.94,70.33,717962
"2015-04-02",69.8,71.28,69.38,70.96,840906
"2015-04-09",71.06,71.74,70.91,71.62,885352
"2015-04-16",69.86,70.31,69.53,69.82,988893
"2015-04-23",69.75,70.26,69.4,69.6,1239794
"2015-04-30",68,68.67,67.38,67.66,1550303
"2015-05-07",66.82,67.2,66.42,67,840772
"2015-05-14",66.47,67.37,66.03,66.44,1672873
"2015-05-21",68.25,69.89,68.13,68.97,1494269
"2015-05-28",70.18,70.42,69.42,70.3,1158686
"2015-06-04",74.95,76.29,74.04,74.25,7379102
"2015-06-11",73.06,73.06,72.09,72.79,964325
"2015-06-18",72.15,72.75,71.68,71.89,1519507
"2015-06-25",69.48,70.4,69.36,69.66,1583425
"2015-07-02",68.69,69.22,68.23,68.71,968902
"2015-07-09",68.23,68.23,66.98,67.01,1048121
"2015-07-16",69.39,69.92,65.12,66.72,4223271
"2015-07-23",65.22,66.5,65.18,66.23,1988568
"2015-07-30",65.04,65.4,64.32,64.98,1171351
"2015-08-06",68.67,69.82,66.09,67.88,2475298
"2015-08-13",66.12,66.82,65.83,65.97,729057
"2015-08-20",65.26,65.34,63.15,63.27,2222275
"2015-08-27",59.1,59.84,58.23,59.11,2324591
"2015-09-03",59.45,59.96,59.11,59.78,1332616
"2015-09-10",58.8,59.02,57.97,58.15,1175351
"2015-09-17",58.61,62.72,57.99,61.48,3962301
"2015-09-24",60.3,60.35,59.09,59.94,1509835
"2015-10-01",58.51,59.22,58.1,58.8,1570094
"2015-10-08",62.31,63.24,61.26,62.97,1531395
"2015-10-15",61.16,61.96,60.94,61.85,853202
"2015-10-22",61.35,61.84,61.19,61.37,991545
"2015-10-29",63.23,63.83,63.03,63.44,584924
"2015-11-05",63.52,64.18,62.66,63.35,1420249
"2015-11-12",62.37,63.24,61.73,62.99,965918
"2015-11-19",64.47,64.58,63.4,63.74,854498
"2015-12-03",62.33,62.41,60.03,60.68,2014254
"2015-12-10",59.75,60.72,59.68,60.13,1091157
"2015-12-17",59.53,59.77,57.99,58.14,1439295
"2015-12-24",58.34,58.72,58.03,58.31,635367
"2015-12-31",57.11,57.8,57.05,57.18,963788
"2016-01-07",55.26,55.6,54.55,54.86,1708402
"2016-01-14",52.28,52.48,51.35,51.73,2084376
"2016-01-21",48.19,48.63,47.33,47.67,3240911
"2016-01-28",47.51,47.71,46.53,47,1089607
"2016-02-04",47.77,48.51,47.43,47.79,1145534
"2016-02-11",39.28,42.02,38.85,41.55,4137483
"2016-02-18",45.51,46.88,41.38,43.17,6879319
"2016-02-25",46.57,46.57,45.69,46.51,1551744
"2016-03-03",48.74,49.42,48.21,49.29,2205762
"2016-03-10",49.06,50.35,48.12,48.71,1984379
"2016-03-17",49.01,49.56,48.78,49.27,1040699
"2016-03-24",48.14,48.14,47.12,47.91,1341419
"2016-03-31",47.19,47.31,45.95,46.26,1904083
"2016-04-07",44.46,44.67,43.39,43.61,1805797
"2016-04-14",44.76,44.89,44.22,44.42,1757183
"2016-04-21",47.44,48.45,47.07,48.1,2289074
"2016-04-28",49.76,51.22,49.5,50.8,6285281
"2016-05-05",46.19,46.37,43.86,44.09,4889727
"2016-05-12",47.83,47.89,45.35,45.43,4324172
"2016-05-19",44.68,45.1,44.34,44.39,2170155
"2016-05-26",47.82,48.45,47.52,47.92,2653612
"2016-06-02",50.73,53.81,50.22,53.68,6222045
"2016-06-09",55.5,55.8,55.05,55.36,2545365
"2016-06-16",52.36,53.34,51.98,53.01,3171840
"2016-06-23",53.33,53.93,52.8,53.5,3144361
"2016-06-30",52.01,52.42,51.35,52.4,2685630
"2016-07-07",51.32,52.04,50.5,51.26,1192054
"2016-07-14",52.65,53.19,52.28,52.91,809031
"2016-07-21",51.05,53.83,49.91,53.71,3648953
"2016-07-28",51.99,53.67,51.38,53.47,2013390
"2016-08-04",51.46,51.87,50.66,51.79,5482998
"2016-08-11",50.89,51.48,50.89,51.01,1224375
"2016-08-18",51.25,52.09,51.2,51.53,1391862
"2016-08-25",49.5,49.72,49.07,49.3,1201106
"2016-09-01",50.28,50.83,49.68,50.66,2105499
"2016-09-08",50.77,51.65,50.46,51.6,3737993
"2016-09-15",50.53,52.2,49.97,52.05,4503870
