"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume"
"2016-05-05",715,717.55,709.45,714.71,1479828
"2016-05-12",732,735.37,724.27,728.07,1352779
"2016-05-19",718.3,720.5,710.3,715.31,1495741
"2016-05-26",736,741.1,733,736.93,1298295
"2016-06-02",746.1,747.3,737,744.27,1695824
"2016-06-09",737.07,743.93,736.5,742.52,958963
"2016-06-16",727.96,730.39,715.54,724.25,2250083
"2016-06-23",710.55,714.88,700.25,714.87,2125028
"2016-06-30",697.65,703.77,694.9,703.53,2112513
"2016-07-07",710.11,710.17,700.67,707.26,1058698
"2016-07-14",733.94,736.14,730.59,735.8,1070351
"2016-07-21",757,758.15,751.52,754.41,953053
"2016-07-28",768.84,768.97,759.09,765.84,3673221
"2016-08-04",798.24,800.2,793.92,797.25,1076031
"2016-08-11",810.47,813.88,806,808.2,1282274
"2016-08-18",805.36,808,801.63,802.75,865160
"2016-08-25",792,794.72,787.23,791.3,1202680
"2016-09-01",791.98,792.89,786.33,791.4,1303460
"2016-09-08",805.22,808.42,801.01,802.84,1177660
"2016-09-15",790.01,803.64,788.66,801.23,1566360
