"","COL.Open","COL.High","COL.Low","COL.Close","COL.Volume"
"2014-12-18",84.44,85.2,84.17,84.91,1489529
"2015-01-08",85.35,86.03,84.98,85.85,2587489
"2015-01-15",84.9,85.19,84.51,84.85,1069391
"2015-01-22",86.03,87.14,85.71,86.98,1680435
"2015-01-29",86.23,86.89,85.28,86.71,771923
"2015-02-05",87.47,87.7,86.83,87.37,735963
"2015-02-12",88.25,88.89,87.85,88.57,754800
"2015-02-19",89.5,89.85,89.15,89.81,675516
"2015-02-26",89.69,89.85,88.94,89.34,653433
"2015-03-05",90.38,90.96,89.99,90.9,768804
"2015-03-12",90.86,91.72,90.81,91.63,549997
"2015-03-19",96.12,96.59,95.74,96.13,612720
"2015-03-26",93.12,94.72,92.12,94.54,917234
"2015-04-02",96.15,96.95,95.82,95.97,530991
"2015-04-09",97.3,97.6,96.53,97.28,785984
"2015-04-16",96.93,97.41,96.43,97.14,459766
"2015-04-23",96.03,98.39,95.56,97.95,882459
"2015-04-30",98.28,98.68,96.83,97.33,925127
"2015-05-07",96.28,96.53,95.65,95.78,908272
"2015-05-14",97.76,98.84,97.44,98.68,559597
"2015-05-21",98.62,98.9,98.12,98.37,634387
"2015-05-28",96.44,96.92,96.17,96.4,926384
"2015-06-04",94.38,95.06,93.46,93.62,1030389
"2015-06-11",94.2,95.09,94.05,94.88,634086
"2015-06-18",95.16,96.25,94.65,95.86,779859
"2015-06-25",95.95,96.04,94.74,94.86,585492
"2015-07-02",93.6,93.69,92.36,92.64,361040
"2015-07-09",92.14,92.56,91.58,91.58,454076
"2015-07-16",93.54,93.89,92.5,92.82,746081
"2015-07-23",87.95,88.71,87.7,88.41,2576430
"2015-07-30",84.54,85.52,84.3,85.05,938299
"2015-08-06",85.21,85.28,84.53,85.15,946175
"2015-08-13",86.41,87.33,86.07,87.06,669952
"2015-08-20",86.73,86.89,85.04,85.07,511722
"2015-08-27",83.31,83.9,82.04,83.51,656167
"2015-09-03",81.26,82.75,81.15,82.1,789587
"2015-09-10",82.15,84.21,82.1,84,1116216
"2015-09-17",85.32,86.73,84.79,85.28,608827
"2015-09-24",80.42,81.42,79.82,81,557853
"2015-10-01",81.67,81.89,80.4,81.27,538218
"2015-10-08",85.05,86.76,84.53,86.61,407095
"2015-10-15",83.02,83.5,82.54,83.42,500455
"2015-10-22",84.58,87.29,84.58,87.16,476867
"2015-10-29",88.81,89.16,88.21,88.91,1049133
"2015-11-05",88.12,88.78,87.82,88.61,657264
"2015-11-12",86.6,87.31,85.51,86.19,665406
"2015-11-19",90.27,92.33,90.1,92.26,1209614
"2015-12-03",91.78,91.83,89.66,90.12,638087
"2015-12-10",90.16,90.88,89.74,90.22,338096
"2015-12-17",90.64,91.14,89.27,89.74,843559
"2015-12-24",92,92.54,91.97,92.33,158590
"2015-12-31",92.71,92.71,91.75,92.3,470718
"2016-01-07",89.59,90.42,87.95,89.32,1066019
"2016-01-14",87.35,87.91,85.96,87.36,663885
"2016-01-21",85.33,86.31,84.63,85.8,1481866
"2016-01-28",80.31,81.43,79.78,81.17,1108287
"2016-02-04",78.82,81.01,78.82,80.4,1077946
"2016-02-11",78.19,78.86,76.03,78.3,1645847
"2016-02-18",84.25,85.79,84.03,85.19,954415
"2016-02-25",88.79,89.05,87.77,88.64,588714
"2016-03-03",88.7,89.25,88.3,89.2,491826
"2016-03-10",88.68,89.07,87.32,87.81,601221
"2016-03-17",90.31,91.4,89.5,91.31,611682
"2016-03-24",90.87,91.57,90.13,91.25,403433
"2016-03-31",92.41,92.52,91.27,92.21,649895
"2016-04-07",91.86,92.3,91.27,91.69,487668
"2016-04-14",92.82,93.53,91.93,93.1,608290
"2016-04-21",93.17,93.29,88.89,89.12,2681894
"2016-04-28",90.18,90.83,89.5,89.73,699478
"2016-05-05",89.32,90.24,89.32,89.97,873440
"2016-05-12",90.39,90.87,88.63,89.43,814763
"2016-05-19",88.59,88.91,87.61,88.38,704007
"2016-05-26",88.99,89.23,88.28,88.82,298865
"2016-06-02",88.64,88.93,88.28,88.53,475659
"2016-06-09",90.22,90.5,89.67,90.45,435864
"2016-06-16",85.86,86.91,85.38,86.64,351260
"2016-06-23",86.22,86.81,85.78,86.81,381841
"2016-06-30",84.16,85.19,83.73,85.14,1173254
"2016-07-07",82.86,83.17,82.32,82.73,631299
"2016-07-14",86.11,86.11,85.25,85.82,666189
"2016-07-21",86.93,86.93,85.41,85.72,750327
"2016-07-28",84.35,85.52,83.91,85.22,1690630
"2016-08-04",85.11,85.6,84.53,84.6,400933
"2016-08-11",84.22,84.67,84.01,84.53,510226
"2016-08-18",84.49,84.99,84.49,84.98,377902
"2016-08-25",84.62,84.62,84.2,84.43,707910
"2016-09-01",83.73,84.15,82.99,84.13,403089
"2016-09-08",84.03,84.33,83.82,83.85,399081
"2016-09-15",81.74,82.53,81.18,82.33,717939
