"","AEP.Open","AEP.High","AEP.Low","AEP.Close","AEP.Volume"
"2013-06-27",44.71,45.24,44.39,44.48,2815764
"2013-07-11",45.82,46.29,45.59,46.24,3857209
"2013-07-18",47.16,47.44,47.05,47.22,2457101
"2013-07-25",46.08,46.44,45.76,45.81,12944877
"2013-08-01",46.48,46.65,45.94,46.55,2983514
"2013-08-08",45.52,45.65,45.26,45.52,2114427
"2013-08-15",44.15,44.3,43.7,43.78,2388560
"2013-08-22",42.4,42.77,42.32,42.69,3055826
"2013-08-29",42.86,43.02,42.55,42.69,1719160
"2013-09-05",42.19,42.45,42.07,42.14,2250313
"2013-09-12",42.33,42.55,41.86,41.92,3227953
"2013-09-19",44.92,45.12,44.32,44.67,4187049
"2013-09-26",43.74,43.99,43.45,43.64,1724295
"2013-10-03",43.6,43.65,43.18,43.33,3108362
"2013-10-10",43.76,44.2,43.26,44.14,2682253
"2013-10-17",43.73,44.75,43.54,44.63,3592336
"2013-10-24",46.52,46.8,46.16,46.72,8961896
"2013-10-31",47.16,47.26,46.34,46.84,3948648
"2013-11-07",46.75,46.88,46.17,46.25,3239869
"2013-11-14",47.41,47.74,47.27,47.59,3672672
"2013-11-21",47.61,47.87,47.36,47.63,2524186
"2013-12-05",46.72,46.82,46.4,46.48,4218720
"2013-12-12",45.85,46.26,45.75,45.89,2805951
"2013-12-19",46.2,46.59,45.56,46.38,4383511
"2013-12-26",46.69,46.77,46.34,46.42,1527076
"2014-01-02",46.98,47.06,46.04,46.13,2752002
"2014-01-09",46.2,46.31,46,46.28,1924844
"2014-01-16",46.45,46.67,46.34,46.58,1593744
"2014-01-23",47.45,47.65,47.15,47.63,3335234
"2014-01-30",47.68,48.42,47.67,48.24,2793389
"2014-02-06",47.43,47.62,47.23,47.6,3647950
"2014-02-13",48.81,49.74,48.75,49.7,2801691
"2014-02-20",50.08,50.76,49.8,50.34,3151691
"2014-02-27",50.22,50.38,49.6,49.8,2966862
"2014-03-06",49.77,49.89,49.19,49.25,2104150
"2014-03-13",49.55,50.1,49.41,49.91,2394997
"2014-03-20",48.83,48.94,48.31,48.75,3756512
"2014-03-27",49.28,49.95,48.99,49.8,4256630
"2014-04-03",50.5,50.74,50.31,50.57,1963636
"2014-04-10",51.6,51.9,50.96,50.99,3937176
"2014-04-17",52.35,52.6,51.62,51.73,2165298
"2014-04-24",52.06,52.76,51.64,52.33,4579184
"2014-05-01",53.99,54.06,53.17,53.87,3304632
"2014-05-08",53.49,53.57,52.87,53.06,3110450
"2014-05-15",52.37,52.57,51.95,52.02,2302359
"2014-05-22",51.17,51.72,51.11,51.49,1813392
"2014-05-29",53.06,53.11,52.4,52.79,3225875
"2014-06-05",53.54,54.42,53.54,54.17,2778496
"2014-06-12",52.46,52.76,51.6,52.59,2368919
"2014-06-19",54.26,54.99,54.15,54.9,3078435
"2014-06-26",55.13,55.13,54.82,55,2534765
"2014-07-03",53.81,53.84,53.19,53.76,2020634
"2014-07-10",54.5,54.89,54.5,54.8,2153227
"2014-07-17",54.16,54.26,53.48,53.48,2043029
"2014-07-24",53.96,54.05,53.73,54.01,2193420
"2014-07-31",52.76,52.93,51.96,51.99,2509796
"2014-08-07",49.49,50.15,49.49,49.84,2914023
"2014-08-14",50.78,51.26,50.78,51.14,2182155
