"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume"
"2015-02-19",179.97,180,178.62,178.65,1698730
"2015-02-26",175.49,175.97,173.42,174.6,1893896
"2015-03-05",175.34,175.34,173.52,174.82,932207
"2015-03-12",171.97,173.63,171.97,173.58,987947
"2015-03-19",173.59,175.13,172.5,173.85,2095873
"2015-03-26",164.28,166.63,163.6,165.49,1752675
"2015-04-02",166.71,166.81,165.7,166.22,1642748
"2015-04-09",171.46,173.45,171.09,172.92,1944592
"2015-04-16",169.57,170.26,168.68,169.24,1760361
"2015-04-23",169.05,170.93,169.05,170.1,1050449
"2015-04-30",168.39,169.95,168.36,169.57,1818816
"2015-05-07",169.87,172.61,169.58,171.74,1148646
"2015-05-14",172.84,174,172.11,173.45,1478842
"2015-05-21",176.91,177.25,175.48,176.55,1112357
"2015-05-28",176.11,176.15,174.55,175.1,1300951
"2015-06-04",178.9,179.99,178.77,179.63,1354982
"2015-06-11",184.29,185.19,182.84,184.98,1918638
"2015-06-18",176.56,180.19,176.56,178.39,2986586
"2015-06-25",173.63,174.02,172.59,172.8,1528169
"2015-07-02",170.2,171.35,169.95,171.13,1181990
"2015-07-09",168.78,169.8,167.44,167.71,1321340
"2015-07-16",170.26,170.51,169.44,169.49,1043881
"2015-07-23",168.85,168.88,166.57,166.86,1076909
"2015-07-30",170.51,171.73,170.16,171.27,927996
"2015-08-06",172.14,172.19,169.49,169.6,1001005
"2015-08-13",165.63,166.08,163.56,163.6,1924053
"2015-08-20",163.69,164,160.13,160.45,1959342
"2015-08-27",150.81,153.54,149.76,153.04,1945746
"2015-09-03",152.01,153.28,150.66,151.21,1777379
"2015-09-10",151.16,151.81,149.24,149.57,2353526
"2015-09-17",149.29,151.87,148.35,149.49,2866832
"2015-09-24",142.23,142.87,141.1,142.44,2090565
"2015-10-01",143.88,145.42,143.63,144.71,1638929
"2015-10-08",152.61,155.99,152.34,155.55,1735414
"2015-10-15",151.74,152.37,149.75,152.11,1005676
"2015-10-22",156.46,160,156.04,159.72,1956711
"2015-10-29",155,156.79,154.75,156.39,1130366
"2015-11-05",159.72,160.9,158.68,160.27,1612971
"2015-11-12",160.23,160.6,158.5,158.79,1515251
"2015-11-19",163,164.32,162.18,163.35,1064746
"2015-12-03",158,158.37,153.29,153.63,2588327
"2015-12-10",146.8,149.7,146.78,148.49,1638904
"2015-12-17",156.85,157.51,151.53,151.84,5864998
"2015-12-24",150.22,150.9,148.71,149.65,1148571
"2015-12-31",148.27,150.35,148.11,148.99,1461536
"2016-01-07",138,138.75,134.29,134.59,3371200
"2016-01-14",130.74,132.84,128.4,131.7,2132484
"2016-01-21",123.26,125.08,122,123.57,2638962
"2016-01-28",128.73,129.8,127.45,128.22,1577458
"2016-02-04",130.69,136.09,130.69,134.21,2536932
"2016-02-11",125.54,126.99,122.78,124.42,2653433
"2016-02-18",132.86,133.6,129.97,131.33,2125774
"2016-02-25",134.41,136.06,133.14,135.98,1361379
"2016-03-03",141.79,144.19,141.55,143.86,1821261
"2016-03-10",142.04,143.25,139.58,141.61,1167968
"2016-03-17",155.23,161.7,154.08,161.34,8885252
"2016-03-24",161.3,162.8,160.54,162.65,1100138
"2016-03-31",161.55,162.94,160.65,162.72,1984293
"2016-04-07",161.17,162.55,160.8,161.28,1358301
"2016-04-14",167.15,167.55,165.64,165.7,1039508
"2016-04-21",166.72,167.61,165.16,165.57,1178059
"2016-04-28",166.89,168.16,165.46,165.66,1118766
"2016-05-05",165.42,166,160.08,160.37,2584432
"2016-05-12",162.4,162.46,158.22,159.37,1632319
"2016-05-19",158.46,160.22,157.84,159.11,1102020
"2016-05-26",164.21,164.48,162.82,163.4,1045122
"2016-06-02",164.64,165.1,163.7,164.8,684232
"2016-06-09",163.64,164.43,162.88,164.11,1044552
"2016-06-16",158.95,162.28,157.51,161.87,1896324
"2016-06-23",157.5,158.66,156.75,157.89,2269734
"2016-06-30",150.26,151.8,149.01,151.78,1716198
"2016-07-07",151.94,153.49,151.32,152.6,1511042
"2016-07-14",161.79,163.64,161.44,161.5,1556727
"2016-07-21",159.51,160.52,158.03,158.41,877327
"2016-07-28",160.2,161.77,159.41,161.45,872195
"2016-08-04",160.74,160.84,158.85,159.82,876796
"2016-08-11",164.94,166.17,164.41,165.79,1046062
"2016-08-18",166.61,167.66,166.2,167.19,1103982
"2016-08-25",167.26,167.57,165.15,165.53,1319276
"2016-09-01",165.5,166.25,163.85,165.64,1181901
"2016-09-08",163.91,165.86,163.84,165.4,831406
"2016-09-15",159,160.71,158.52,160.07,1403777
