"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume"
"2014-08-14",101.89,102.05,101.5,102.02,5239445
"2014-08-21",103.33,104.42,103.33,104.19,8357633
"2014-08-28",102.9,103.19,102.71,102.95,3485694
"2014-09-04",103.99,104.1,103.76,103.84,6147742
"2014-09-11",104.78,104.89,104.1,104.55,4835853
"2014-09-18",106.18,107.41,106.03,107.35,6628840
"2014-09-25",108.53,108.55,107.07,107.1,5691811
"2014-10-02",104.06,104.54,103.25,103.85,7566157
"2014-10-09",104.63,104.86,101.79,102.08,10677257
"2014-10-16",96.97,98,96.5,96.78,14575531
"2014-10-23",102.26,102.98,101.94,102.63,7570675
"2014-10-30",105.17,107.05,104.91,107.04,9068343
"2014-11-06",108.93,109.32,108.55,109.01,6200277
"2014-11-13",109.05,109.49,108.5,109.07,4859955
"2014-11-20",108.55,108.57,107.69,108.18,8090667
"2014-12-04",108.09,108.3,107.38,107.56,6813598
"2014-12-11",105.85,107.3,105.36,106.72,7114640
"2014-12-18",105.62,106.82,104.74,106.81,11756825
"2015-01-08",106.06,106.49,105.75,106.39,9925854
"2015-01-15",102.97,103.93,101.95,102.49,10834811
"2015-01-22",102.39,103.83,101.57,103.76,9036608
"2015-01-29",101.51,102.46,100.67,102.38,7569330
"2015-02-05",101.57,102.56,101.46,102.46,6642224
"2015-02-12",100.5,100.54,97.15,98.44,25835156
"2015-02-19",99.95,100.84,99.61,100.7,10028180
"2015-02-26",101.38,103.18,101.22,102.8,11437890
"2015-03-05",102.07,103.21,102,102.52,8042336
"2015-03-12",98.96,100.24,98.83,99.83,8317996
"2015-03-19",101.04,101.96,100.91,101.69,6863107
"2015-03-26",99.95,100.81,99.56,100.14,9972373
"2015-04-02",99.44,99.99,98.89,99.64,6097146
"2015-04-09",100.57,101.65,100.33,101.33,8073887
"2015-04-16",100.27,100.32,99.77,99.79,7324783
"2015-04-23",100.5,100.82,99.91,100.46,7351494
"2015-04-30",100.07,100.15,98.77,99.2,10170628
"2015-05-07",98.94,100,98.91,99.66,6401552
"2015-05-14",100.97,101.87,100.95,101.83,5454009
"2015-05-21",102.91,103.3,102.34,102.42,6875627
"2015-05-28",101.01,101.7,100.81,101.15,5700051
"2015-06-04",99.94,100.47,99.06,99.23,8057860
"2015-06-11",99.2,99.8,98.83,99.24,6175188
"2015-06-18",98.86,100.55,98.71,100.36,8815756
"2015-06-25",99.5,99.98,99.11,99.12,6581098
"2015-07-02",98.85,99.02,98.32,98.44,6091886
"2015-07-09",99.05,99.54,98.4,98.4,7316390
"2015-07-16",100.95,101.36,100.78,101.11,5774981
"2015-07-23",100.5,100.6,100,100.2,5016148
"2015-07-30",99.8,100,99.38,99.84,5517401
"2015-08-06",100.49,100.6,99.01,99.07,6987963
"2015-08-13",98.74,98.98,98.15,98.48,5047960
"2015-08-20",98.95,100.12,98.79,98.79,10612704
"2015-08-27",96.1,96.4,94.35,96.22,10990775
"2015-09-03",93.66,94.09,92.26,92.64,8937449
"2015-09-10",92.11,93.48,91.62,92.72,8317580
"2015-09-17",94.53,96.19,94.32,94.84,8077474
"2015-09-24",92.52,92.94,91.78,92.48,7309674
"2015-10-01",93.43,93.85,91.76,93.17,9649332
"2015-10-08",94.71,95.2,93.81,95.08,7085761
"2015-10-15",95,97.35,94.86,97.15,9463381
"2015-10-22",97.85,99.81,97.13,99.53,9870468
"2015-10-29",100.47,101.53,100.12,101.37,6158058
"2015-11-05",102.25,102.49,101.42,102.33,6544187
"2015-11-12",101.14,101.6,100.22,100.27,6866401
"2015-11-19",102.66,102.68,102.06,102.49,5160854
"2015-12-03",102.27,102.37,100.31,100.79,12008737
"2015-12-10",102.3,103.34,101.8,102.64,6479272
"2015-12-17",105.16,105.26,103.63,103.64,8740832
"2015-12-24",103.12,103.91,103.01,103.72,2546278
"2015-12-31",103.37,103.62,102.69,102.72,4592603
"2016-01-07",99.31,100.09,98.88,99.22,9433097
"2016-01-14",97.1,99.47,97,98.89,10133303
"2016-01-21",95.77,96.64,94.28,95.94,11264350
"2016-01-28",102.5,103.04,101.85,102.27,12786777
"2016-02-04",103.61,104.08,102.73,103.9,10335542
"2016-02-11",100.46,102.02,99.98,101.7,12354175
"2016-02-18",102.83,104.68,102.5,104.24,10673961
"2016-02-25",104.95,106.39,104.77,106.38,8086858
"2016-03-03",106.82,107,105.63,106.65,6917850
"2016-03-10",106.99,107.48,106.07,107.14,10474640
"2016-03-17",107.47,107.6,106.45,106.74,8564193
"2016-03-24",108.22,108.61,107.75,108.31,6284116
"2016-03-31",108.86,108.98,108.04,108.2,8145213
"2016-04-07",109,109.62,108.63,109.27,7795979
"2016-04-14",110,110.29,109.45,109.84,4456508
"2016-04-21",113.31,113.73,112.77,113.57,7878899
"2016-04-28",112.1,112.71,111.64,112.48,6616168
"2016-05-05",112.08,113.1,112.04,112.88,5370283
"2016-05-12",114.5,114.76,113.54,114.23,7129256
"2016-05-19",112.99,113.04,112.2,112.85,8225630
"2016-05-26",113.11,113.32,112.85,112.9,3973304
"2016-06-02",112.87,114.65,112.86,114.49,7310801
"2016-06-09",115.78,117.19,115.61,117,7375474
"2016-06-16",115.69,116.89,115.22,116.64,6664815
"2016-06-23",117.2,117.38,116.68,117.38,6775873
"2016-06-30",119.18,121.41,119.16,121.3,11559922
"2016-07-07",122.59,122.81,122.01,122.51,6058727
"2016-07-14",122.98,123.74,122.91,123.18,5322718
"2016-07-21",125.21,125.74,124.89,125.15,5563937
"2016-07-28",124.98,125,124.41,124.46,4320393
"2016-08-04",124.24,124.39,123.64,123.86,4728165
"2016-08-11",123.85,124.14,123.47,123.77,4051971
"2016-08-18",121.17,121.39,119.9,120.72,8728000
"2016-08-25",118.86,119.21,118.33,118.57,5566048
"2016-09-01",119.19,119.39,118.6,119.08,4551792
"2016-09-08",119.37,119.82,119.14,119.47,4833010
"2016-09-15",117.81,118.94,117.32,118.63,5814900
