"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume"
"2014-05-15",116.52,116.9,114.5,115.55,1900948
"2014-05-22",115.5,116.15,114.96,115.93,1835910
"2014-05-29",116.15,117.12,115.8,117.11,1051452
"2014-06-05",117.91,119.1,117.72,119,1607622
"2014-06-12",119.64,120.46,119.33,119.85,2049224
"2014-06-19",120,120.4,118.85,119.71,2151752
"2014-06-26",119.32,119.52,118.63,119.3,1426616
"2014-07-03",118.44,120.18,117.91,120.11,1423219
"2014-07-10",116.61,117.79,116.36,117.15,2760430
"2014-07-17",119.48,120.83,118.61,119.02,2714652
"2014-07-24",124.93,125.93,123.29,125.51,2570610
"2014-07-31",123.62,124.26,121.15,121.5,1986700
"2014-08-07",120.6,120.83,118.96,119.53,1102874
"2014-08-14",121.78,122.15,121.32,121.78,1047290
"2014-08-21",122.55,122.7,121.73,121.81,854550
"2014-08-28",119.58,120.26,118.71,120.07,1250386
"2014-09-04",123.98,125.24,123.64,123.88,1496639
"2014-09-11",123.24,123.66,122.45,123.3,1420193
"2014-09-18",123.81,124.58,123.63,124.13,785997
"2014-09-25",123.02,123.71,120.97,120.99,1837537
"2014-10-02",119.57,120.36,118.16,119.16,1875136
"2014-10-09",121.64,121.64,117.7,117.82,1751878
"2014-10-16",108.59,111.64,108.23,109.69,4332412
"2014-10-23",115.59,117.36,115.02,116.23,2602179
"2014-10-30",115.9,116.88,115.62,116.59,1835415
"2014-11-06",118.81,119.15,118.36,118.91,1260918
"2014-11-13",118.67,118.85,117.86,118.24,1207595
"2014-11-20",123.71,126.33,123.03,124.58,2538557
"2014-12-04",128.75,129.22,127.76,128.39,1098904
"2014-12-11",127.34,128.94,126.43,126.72,1388693
"2014-12-18",125.86,127.54,125.2,127.52,1736481
"2015-01-08",129.46,131.06,129.46,130.27,2524350
"2015-01-15",126.3,126.55,124.11,124.13,2722727
"2015-01-22",126.35,127.57,125.38,127,2953796
"2015-01-29",123.36,128.73,121.54,127.96,4902995
"2015-02-05",126.76,127.49,125.87,127.04,1472761
"2015-02-12",126.76,127.08,125.6,126.83,1370737
"2015-02-19",127.71,128.11,127.09,127.79,1266252
"2015-02-26",130.76,131.15,129.8,130.14,1558414
"2015-03-05",130.32,131.57,129.59,131.46,1544650
"2015-03-12",128.51,129.3,127.99,128.6,1251750
"2015-03-19",133.78,135.01,133.77,134.76,1638767
"2015-03-26",132.67,133.97,132.21,133.07,1200832
"2015-04-02",132.26,133.68,131.9,133.11,841073
"2015-04-09",132.91,133.88,132.43,133.57,750593
"2015-04-16",133.26,133.53,132.31,132.49,1547435
"2015-04-23",130.28,130.3,128.68,129.55,2254308
"2015-04-30",126.7,127.35,125.25,125.68,1966682
"2015-05-07",127.81,128.5,127.18,127.75,2313774
"2015-05-14",130.62,131.33,129.76,131.1,1304440
"2015-05-21",132.19,133.48,131.84,132.84,2328749
"2015-05-28",130.7,130.89,129.54,130.13,928727
"2015-06-04",129.03,129.82,128.91,129.5,1252160
"2015-06-11",130.4,130.76,130.29,130.52,762831
"2015-06-18",129,130.45,128.83,129.68,2039794
"2015-06-25",130.21,131.98,129.44,131.53,1993617
"2015-07-02",131.14,131.46,130.39,130.95,1093236
"2015-07-09",129.62,130,127.77,127.82,1240633
"2015-07-16",135.79,136.76,135.71,136.66,1363716
"2015-07-23",140.5,140.94,139.55,140.6,2030038
"2015-07-30",138.93,139.6,137.47,139.12,947349
"2015-08-06",138.37,139.12,136.01,136.92,1063818
"2015-08-13",134.95,135.13,133.37,133.72,828286
