"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume"
"2013-07-25",97.82,98.79,97.63,98.47,1196650
"2013-08-01",99.44,99.99,98.25,98.79,1819741
"2013-08-08",99.14,99.16,97.83,98.57,1363503
"2013-08-15",96.51,96.7,95.74,95.8,1523024
"2013-08-22",94.12,96.31,93.6,95.61,2072112
"2013-08-29",92.2,93.31,92,92.95,1203174
"2013-09-05",92.39,92.45,91.6,92.27,1314214
"2013-09-12",94.57,95.45,94.39,94.85,1355459
"2013-09-19",97.91,97.98,96.68,97.2,1515665
"2013-09-26",94.91,95.53,94.75,95.46,916661
"2013-10-03",94.26,94.73,93.31,94.44,1768297
"2013-10-10",94.99,95.94,94.57,95.93,1246343
"2013-10-17",97.65,99.24,97.54,99.04,1453673
"2013-10-24",104.72,105.05,104.17,104.21,1776817
"2013-10-31",107.89,108.39,107.15,108,1377761
"2013-11-07",109.66,109.68,107.73,107.88,1580172
"2013-11-14",109.1,109.91,108.85,109.71,1288544
"2013-11-21",108.05,108.53,107.71,107.92,4700508
"2013-12-05",104.03,104.3,103.42,103.9,2075006
"2013-12-12",105.12,105.26,103.74,103.83,1550281
"2013-12-19",104.33,105.08,104.04,104.38,1552518
"2013-12-26",104.8,105.13,104.41,104.99,642964
"2014-01-02",104.32,104.62,103.52,103.84,1432910
"2014-01-09",103.5,104.1,103.31,103.73,1451270
"2014-01-16",105.18,106.07,104.53,106.05,1294696
"2014-01-23",105.52,106.22,105.13,105.42,2283606
"2014-01-30",107.59,108.77,107.48,108.4,2297398
"2014-02-06",106.07,106.36,105.56,106.35,1717603
"2014-02-13",107.64,108.85,107.43,108.75,1442852
"2014-02-20",109.12,110.68,109,109.97,1776607
"2014-02-27",108.44,109.39,108.03,108.9,1792069
"2014-03-06",108.92,109.88,108.75,109.39,1697194
"2014-03-13",109.97,110.86,108.99,109.08,2016034
"2014-03-20",109.86,110.4,109.35,109.77,1363059
"2014-03-27",110.87,111.2,109.63,109.64,2072756
"2014-04-03",109.95,110.36,109.54,109.75,1544375
"2014-04-10",111.3,112.77,111.07,111.07,2526453
"2014-04-17",112.09,113.09,111.8,112.54,2888607
"2014-04-24",108.81,109.57,108.57,109.03,1871874
"2014-05-01",111.81,112.1,110.6,111.23,1743727
"2014-05-08",110.63,111.15,110.5,110.71,1262341
"2014-05-15",110.86,111.39,110.51,110.74,1201087
"2014-05-22",109.91,110.37,109.71,110.13,889045
"2014-05-29",110.91,111.34,110.58,111.26,994031
"2014-06-05",111.42,111.56,110.67,111.1,1234485
"2014-06-12",110.76,110.91,109.66,110.13,1185808
"2014-06-19",111.96,113.21,111.83,113.11,1407566
"2014-06-26",111.26,111.26,110.25,110.85,1089296
"2014-07-03",111.13,112.06,111.13,111.88,859443
"2014-07-10",112.46,113.06,112.42,112.81,916369
"2014-07-17",113.74,114.02,112.61,112.67,1304110
"2014-07-24",109.59,109.96,109.42,109.49,2039050
"2014-07-31",104.85,106.67,103.85,103.87,2149998
"2014-08-07",106.85,107.22,105.92,106.18,1534551
"2014-08-14",107.75,108.24,107.73,108.08,924667
"2014-08-21",108.76,109.5,108.65,109.18,1044038
"2014-08-28",108.76,108.76,108.04,108.14,1078317
"2014-09-04",107.65,108.39,107.33,107.54,1387651
"2014-09-11",106.9,107.14,106.5,107.06,1423610
"2014-09-18",106.9,107.01,106.49,106.72,995495
"2014-09-25",108.16,108.25,107.12,107.2,1615803
"2014-10-02",107,107.83,106.67,106.81,1412128
"2014-10-09",109.07,109.79,108.09,108.45,1616268
"2014-10-16",104.18,105.81,103.88,105.04,1874518
"2014-10-23",113.14,113.14,111.28,112.01,1765296
"2014-10-30",112.55,113.92,112.55,113.62,1108070
"2014-11-06",112.69,113.39,112.25,113.05,1808145
"2014-11-13",113.7,114.46,113.07,114.07,2142429
"2014-11-20",113.18,113.46,112.61,112.73,1903743
"2014-12-04",115,115.33,114.05,114.6,1728815
"2014-12-11",113.3,114.73,113.14,114.04,1415348
"2014-12-18",114.86,115.41,113.94,115.41,2320792
"2015-01-08",115.07,116.99,115.07,116.99,2108037
"2015-01-15",116.61,116.94,115.89,116.23,1095639
"2015-01-22",118,119.01,117.16,118.98,1851701
"2015-01-29",109.85,110.79,109.17,110.22,2694134
"2015-02-05",110.11,110.67,109.86,110.02,2018810
"2015-02-12",109.27,110.45,109.08,110.18,1369122
"2015-02-19",111.55,111.55,110.33,110.66,1059575
"2015-02-26",110.36,110.58,109.69,109.91,1357658
"2015-03-05",108.81,108.97,108.17,108.46,1275509
"2015-03-12",104.63,105.74,104.53,105.69,1320193
"2015-03-19",106.83,107.65,106.69,106.75,2233381
"2015-03-26",107.14,107.56,106.29,106.32,1705453
"2015-04-02",106.32,107.4,105.94,107.02,1555994
"2015-04-09",107.31,107.46,106.43,107.26,1159833
"2015-04-16",107.72,108.17,107.08,107.68,1026616
"2015-04-23",111.34,112.35,110.85,111.7,1607284
"2015-04-30",110.3,110.64,109.31,109.69,1743636
"2015-05-07",109.64,110.09,109.43,109.68,1525015
"2015-05-14",111,111.82,110.76,111.62,1183205
"2015-05-21",112.16,112.33,111.53,111.83,1065182
"2015-05-28",110.11,110.33,109.33,109.73,1151563
"2015-06-04",107.17,107.91,106.69,106.83,1149224
"2015-06-11",107.14,107.73,106.8,107.4,1927129
"2015-06-18",107.97,109.48,107.56,109.2,1613581
"2015-06-25",108.37,108.45,107.47,107.51,1413031
"2015-07-02",108.34,108.61,107.35,107.55,1159484
"2015-07-09",110.07,110.17,108.67,108.7,1680783
"2015-07-16",111.74,112.48,111.41,112.03,1042262
"2015-07-23",112.54,112.54,110.52,111.63,1476282
"2015-07-30",112.93,114.77,112.41,114.57,1746939
"2015-08-06",117.65,117.95,116.58,116.66,1369236
"2015-08-13",115.9,116.31,115.52,115.78,949190
"2015-08-20",114.47,115.16,113.96,114.05,1038883
"2015-08-27",106.81,108.11,105.81,107.73,2104332
"2015-09-03",105.21,106.25,105.02,105.64,1139093
"2015-09-10",103.41,104.57,103.04,103.66,1326275
"2015-09-17",107.33,109.07,106.97,107.84,1477287
"2015-09-24",107.28,108.48,107.01,108.17,2109293
"2015-10-01",108.33,108.86,107.98,108.74,2565369
"2015-10-08",112,113.82,112,113.8,1035097
"2015-10-15",115.42,116.27,115.24,116.13,1507463
"2015-10-22",118.92,121.16,118.1,120.8,2530934
"2015-10-29",120.55,122.13,120.17,121.77,1143485
"2015-11-05",119.99,120.15,119.02,119.88,1764174
"2015-11-12",118.7,119.28,117.44,117.69,999627
"2015-11-19",121.26,122.48,121.2,121.66,1234444
"2015-12-03",120.28,120.56,117.52,118.25,2191341
"2015-12-10",120.39,121.45,119.77,120.33,1592839
"2015-12-17",125.8,126.23,125.15,125.84,2016971
"2015-12-24",127.06,127.38,126.64,126.88,689503
"2015-12-31",128.5,129.28,127.29,127.3,1438197
"2016-01-07",126.92,128.93,126.6,126.86,3168834
