"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume"
"2015-07-30",83.18,83.32,82.42,83.01,11139943
"2015-08-06",76.94,78.26,76.91,78.09,13005213
"2015-08-13",78.32,79.29,78.27,78.65,13154102
"2015-08-20",76,76.18,74.57,74.57,17784444
"2015-08-27",73.8,74.89,73.01,74.85,24207807
"2015-09-03",73.64,74.91,73.34,73.79,13436068
"2015-09-10",72.81,72.98,71.8,72.52,12327340
"2015-09-17",74.41,75.47,73.85,74.46,15396873
"2015-09-24",72,73.15,71.72,72.73,14462651
"2015-10-01",75.2,75.58,73.3,74.06,14279073
"2015-10-08",79.31,80.11,78.54,80.03,13969342
"2015-10-15",80.19,81.53,79.9,81.48,13630579
"2015-10-22",80.68,82.96,80.66,82.89,14626257
"2015-10-29",81.79,83.22,81.79,82.23,10207466
"2015-11-05",85.55,86.23,84.5,84.81,12274338
"2015-11-12",80.57,81.28,79.32,79.41,15912197
"2015-11-19",80.51,80.78,80.04,80.3,9452451
"2015-12-03",79.72,79.85,78.02,78.41,14870252
"2015-12-10",75.8,77.5,75.52,75.69,20142376
"2015-12-17",79.02,79.23,77.95,77.96,17362915
"2015-12-24",80.27,80.27,79.12,79.33,5848311
"2015-12-31",77.51,78.44,77.43,77.95,10285519
"2016-01-07",76.06,77.99,75.9,76.23,21263761
"2016-01-14",76.21,79.92,75.8,79.12,33712212
"2016-01-21",73.16,74.99,72.61,74.1,22254821
"2016-01-28",77.35,77.66,75.62,76.99,16153486
"2016-02-04",78.58,80,77.56,79.83,23553268
"2016-02-11",78.34,80.15,77.58,79.6,19164592
"2016-02-18",82.9,83.06,81.86,82.45,14839403
"2016-02-25",81.56,82.07,80.02,82.01,13692402
"2016-03-03",82.66,82.72,81.54,82.4,13212857
"2016-03-10",82.42,82.66,80.93,82.18,15879278
"2016-03-17",83.68,84.68,82.72,84.1,13517985
"2016-03-24",82.94,84.02,82.93,83.98,9367172
"2016-03-31",84.07,85.1,83.59,83.59,13815957
"2016-04-07",82.76,83.17,82.05,82.37,8185302
"2016-04-14",85,85.9,84.76,85.43,10623713
"2016-04-21",86.59,87.84,86.57,86.79,11909793
"2016-04-28",87.86,88.78,87.5,88.03,11225206
"2016-05-05",88.76,88.97,87.62,88.04,8672121
"2016-05-12",89.8,89.93,89.15,89.67,10706694
"2016-05-19",88.61,90.16,88.45,90.11,13536855
"2016-05-26",90.25,90.46,89.27,89.8,7860412
"2016-06-02",88.21,88.53,87.61,88.53,9837535
"2016-06-09",90.18,91.03,90.11,90.67,8974331
"2016-06-16",89.7,91.39,89.11,91.22,12824808
"2016-06-23",91.93,92.07,91.19,91.8,9464500
