"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume"
"2015-04-09",69.8,70.06,69.28,69.96,1853075
"2015-04-16",69.96,70.3,69.66,70.08,2166524
"2015-04-23",68.93,69.5,68.79,69.22,2378212
"2015-04-30",67.49,67.67,66.78,67.28,5582309
"2015-05-07",67.97,68.25,67.5,67.88,2338188
"2015-05-14",68.02,68.72,68.01,68.63,2269870
"2015-05-21",68.81,68.86,68.47,68.82,1808790
"2015-05-28",67.54,67.63,67.16,67.33,2077429
"2015-06-04",66.21,66.9,65.85,65.92,3280440
"2015-06-11",66.45,66.74,66.17,66.55,3863270
"2015-06-18",66.59,67.53,66.57,67.17,4435105
"2015-06-25",66.51,66.8,66.32,66.46,2680626
"2015-07-02",66.38,66.58,65.98,66.16,2024746
"2015-07-09",67.15,67.18,66.15,66.17,3004700
"2015-07-16",67.33,67.73,67.18,67.62,1912002
"2015-07-23",67,67.18,66.81,67.04,2667912
"2015-07-30",68.75,68.8,67.31,68.02,5488805
"2015-08-06",69.2,69.3,68.64,68.65,2989934
"2015-08-13",68.03,68.18,67.57,67.66,2225947
"2015-08-20",66.2,66.55,65.96,65.99,3713387
"2015-08-27",62.58,63.29,61.94,63.09,4996416
"2015-09-03",62.24,63.12,62.24,62.92,4027435
"2015-09-10",62.28,62.48,61.31,61.93,5221683
"2015-09-17",63.01,64.09,62.98,63.27,4556982
"2015-09-24",61.8,62.42,61.46,62.25,3768115
"2015-10-01",63.58,63.95,63.21,63.72,4253763
"2015-10-08",65.18,65.94,65.02,65.9,2582020
"2015-10-15",66.16,66.66,65.96,66.57,2411548
"2015-10-22",67.15,68.86,66.67,68.64,3660431
"2015-10-29",68.62,69.44,68.42,69.23,3482579
"2015-11-05",67.51,67.89,67.2,67.6,2789405
"2015-11-12",66.15,66.32,65.24,65.27,2777694
"2015-11-19",66.32,66.95,66.2,66.38,2964632
"2015-12-03",65.7,65.96,64.99,65.58,4809267
"2015-12-10",66.08,66.66,65.98,66.13,2628337
"2015-12-17",68.19,68.3,67.3,67.33,4224800
"2015-12-24",67,67.28,66.86,66.99,882144
"2015-12-31",67.21,67.29,66.61,66.62,2002052
"2016-01-07",63.4,63.9,62.76,63.01,4476338
"2016-01-14",63.03,64.14,62.98,63.53,3889033
"2016-01-21",62.32,63.96,61.91,63.65,5645365
"2016-01-28",64.56,65.55,64.32,65.02,5572901
"2016-02-04",65.9,66.23,65.5,65.99,3061694
"2016-02-11",64.71,65.3,64,64.44,4712731
"2016-02-18",66.9,67.34,66.63,67.22,2470088
"2016-02-25",66.61,67.45,66.33,67.42,3007810
"2016-03-03",66.86,67.61,66.71,67.61,2415021
"2016-03-10",68.11,68.45,67.53,68.23,2453299
"2016-03-17",68.76,69.99,68.58,69.86,4243493
"2016-03-24",69.54,69.96,69.38,69.91,3803307
"2016-03-31",70.72,71,70.51,70.65,2944344
"2016-04-07",70.9,70.95,70.28,70.64,2987766
"2016-04-14",70.81,71.19,70.71,70.8,2744854
"2016-04-21",70.2,70.32,68.81,68.98,4122468
"2016-04-28",69.4,71.59,69.39,71.16,6293726
"2016-05-05",71.66,72.31,71.18,71.47,3006209
"2016-05-12",72.29,72.72,71.92,72.65,2781763
"2016-05-19",69.96,70.45,69.53,70.43,2698772
"2016-05-26",70.68,70.95,70.35,70.49,6235206
"2016-06-02",71.02,71.42,70.87,71.42,2241626
"2016-06-09",71.85,72.41,71.74,72.34,1943194
"2016-06-16",71.56,72.07,71.36,72,2161426
"2016-06-23",72.64,72.73,72.34,72.67,2015261
"2016-06-30",71.9,73.2,71.86,73.2,3798772
"2016-07-07",73.28,73.71,73.08,73.4,2782297
"2016-07-14",74.49,75.32,74.33,74.71,5222848
"2016-07-21",73.88,74.09,73.61,73.87,2639782
"2016-07-28",74.75,74.75,73.06,73.25,4066751
"2016-08-04",74.21,75.06,74.21,74.78,3026978
"2016-08-11",74.95,75.26,74.79,74.89,2345121
"2016-08-18",74.58,74.86,74.48,74.59,2059550
"2016-08-25",74.43,74.93,74.22,74.63,1567581
"2016-09-01",74.38,74.43,73.87,74.27,3016327
"2016-09-08",73.73,73.75,72.94,72.99,3775417
"2016-09-15",71.85,72.32,71.57,72.1,3052931
