"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume"
"2013-08-29",82.5,83.06,82.02,82.53,3706364
"2013-09-05",83.37,83.52,82.71,82.95,3728404
"2013-09-12",86.94,87.22,86.62,86.84,3980970
"2013-09-19",88.04,88.25,87.31,87.75,4765532
"2013-09-26",84.59,84.85,83.9,84.2,3478341
"2013-10-03",83.89,84.27,83.42,83.97,4223482
"2013-10-10",84.44,84.95,84.07,84.73,4317128
"2013-10-17",85.33,85.99,84.95,85.85,3852788
"2013-10-24",83.32,85,83.13,84.53,8368710
"2013-10-31",83.44,84.27,83.36,83.36,4651299
"2013-11-07",83.95,84.43,83.5,83.65,5431738
"2013-11-14",84,84.2,83.56,83.76,4496319
"2013-11-21",83.05,83.09,81.87,82.12,6208636
"2013-12-05",83.92,84.58,83.7,84.41,5292843
"2013-12-12",85.32,85.7,84.84,85.57,4551972
"2013-12-19",87.5,87.84,87.26,87.54,4301063
"2013-12-26",90.99,91.67,90.7,91.15,4791031
"2014-01-02",90.41,90.45,89.33,89.87,4898714
"2014-01-09",89.26,89.8,88.68,89.71,4469987
"2014-01-16",91.89,92.86,91.7,92.01,4771192
"2014-01-23",88.7,89.08,88.05,88.48,5021646
"2014-01-30",91.53,93.85,90.73,93.2,14770545
"2014-02-06",91.94,94.23,91.79,93.83,6864749
"2014-02-13",95.29,96.41,95.11,96.11,4392208
"2014-02-20",96.51,97.52,95.3,96.92,7719564
"2014-02-27",97.21,97.64,96.52,96.7,4340142
"2014-03-06",96.95,98.15,96.66,97.6,6792145
"2014-03-13",97.2,97.73,95.06,95.61,8434596
"2014-03-20",95.71,96.24,95.1,96.21,4396040
"2014-03-27",97.82,98.89,97.29,98.45,4954162
"2014-04-03",101.92,103.2,101.61,102.55,8230217
"2014-04-10",102.91,103.72,101.99,102.26,4540078
"2014-04-17",103.05,103.44,102.6,102.83,3556801
"2014-04-24",106.02,107.4,104.79,105.28,8854664
"2014-05-01",105.2,105.79,104.63,105.07,2972156
"2014-05-08",104.55,105.02,104.15,104.94,3120874
"2014-05-15",106.49,106.74,104.04,104.99,5156642
"2014-05-22",102.9,103.88,102.51,103.08,3112324
"2014-05-29",103.28,103.66,102.56,103.6,3071583
"2014-06-05",104.8,107.12,104.77,106.96,5396721
"2014-06-12",108.46,108.5,106.44,106.65,3413837
"2014-06-19",106.99,107.42,106.69,107.25,2592653
"2014-06-26",108.55,108.8,107.85,108.52,1522940
"2014-07-03",109.9,111.16,109.69,111.08,2876160
"2014-07-10",108.14,109.57,107.8,109.36,2303670
"2014-07-17",110.4,110.67,108.93,109.07,3166050
"2014-07-24",105.6,106.23,104.09,105.04,8690333
"2014-07-31",102.24,102.69,100.74,100.75,6712263
"2014-08-07",102.66,103.47,101.88,101.94,5753105
"2014-08-14",105.51,106,104.99,105.66,4178778
"2014-08-21",108.17,108.57,107.54,107.97,4118278
"2014-08-28",108.02,108.82,107.8,108.65,3231713
"2014-09-04",108.3,109.49,108.16,108.82,4604030
"2014-09-11",105.66,105.66,104.59,105.59,5461033
"2014-09-18",104.3,104.55,103.4,104.34,3916001
"2014-09-25",101,101.2,99.19,99.51,4967045
"2014-10-02",97.65,97.98,96.14,97.41,4461047
"2014-10-09",96.21,96.52,93.24,93.5,6414868
"2014-10-16",90.27,94.15,90.27,93.24,7439609
"2014-10-23",97.6,99.94,97.34,99.27,11670137
"2014-10-30",99.63,100.58,99.06,100.16,2650901
"2014-11-06",99.51,100.99,99.24,100.91,3427724
"2014-11-13",103.06,103.18,100.68,101.11,3924096
"2014-11-20",100.33,102.14,100.07,102.09,3052561
"2014-12-04",99.69,100.87,99.51,99.67,3406371
"2014-12-11",93.68,94.29,92.53,92.69,4664926
"2014-12-18",91.89,91.89,90.55,91.69,8344394
"2015-01-08",89.18,89.28,87.84,88.71,7617761
"2015-01-15",86.03,86.17,84.3,84.32,6683880
"2015-01-22",86.05,87.36,85.43,86.82,5567832
"2015-01-29",79.91,80.18,78.81,80,9157025
"2015-02-05",82.4,83.63,81.87,83.57,6640223
"2015-02-12",84.08,84.25,83.31,83.53,4622996
"2015-02-19",83.81,84,82.2,83.3,5733483
"2015-02-26",85.1,85.1,83.56,83.8,4457034
"2015-03-05",80.41,81.56,80.06,81.51,7123533
"2015-03-12",80.27,80.48,79.8,80.19,3613401
"2015-03-19",80.5,80.5,79.56,80.09,5236161
"2015-03-26",79.64,80.8,79.51,79.88,4238537
"2015-04-02",79.6,80.5,79.4,80.24,3556034
"2015-04-09",80.5,81.21,80.28,80.68,4291850
"2015-04-16",84.4,84.9,84,84.34,5692312
"2015-04-23",86.85,87.5,83.85,84.79,18917562
"2015-04-30",86.85,87.3,86.23,86.88,5460102
"2015-05-07",86.65,86.88,85.89,86.43,3892784
"2015-05-14",88.78,89.59,88.65,88.74,3228419
"2015-05-21",88.23,89.62,87.94,89.33,8155485
"2015-05-28",87.33,87.45,85.73,86.01,5899123
"2015-06-04",85.5,86.4,85.32,85.47,3775249
"2015-06-11",88.62,88.76,87.92,88.17,2872879
"2015-06-18",86.83,87.74,86.83,87.44,3373646
"2015-06-25",88.22,88.33,86.66,86.72,3239051
"2015-07-02",84.53,84.78,83.85,84.38,2582215
"2015-07-09",83.43,83.7,81.46,81.69,4570662
"2015-07-16",84.75,84.89,83.41,83.76,3685980
"2015-07-23",77.7,79.04,76.65,76.88,13909914
"2015-07-30",76.98,78.37,76.68,78.35,7386182
"2015-08-06",76.98,77.65,76.18,77.46,5609516
"2015-08-13",78.55,78.58,77.7,77.76,5662495
"2015-08-20",77.28,77.83,76.41,76.41,7267352
"2015-08-27",75.04,76.22,74.23,75.66,8492077
"2015-09-03",75.95,76,73.78,74.45,11061156
"2015-09-10",72.89,73.31,72.03,72.42,6106714
"2015-09-17",75.4,75.68,73.91,74.06,7716912
"2015-09-24",66.2,66.7,64.65,65.8,22536441
"2015-10-01",65.63,66.1,63.61,64.39,7922067
"2015-10-08",70.32,72.18,69.85,71.84,6071675
"2015-10-15",70.47,70.92,69.76,70.83,4546640
"2015-10-22",67.92,72.83,67.81,70.88,13878281
"2015-10-29",71.49,72.57,71.28,71.97,4290770
"2015-11-05",74.65,75.56,73.21,74.22,6228510
"2015-11-12",70.82,70.99,68.41,68.66,8649505
"2015-11-19",69.5,70.11,68.6,70.02,6267231
"2015-12-03",71.15,71.22,69.37,69.64,8130772
"2015-12-10",65.98,67.09,65.91,66.38,5768745
"2015-12-17",67.18,67.5,64.88,64.9,6799955
"2015-12-24",69.75,69.9,69.06,69.38,2322144
"2015-12-31",68.45,69.1,67.94,67.96,4356425
"2016-01-07",65.08,65.52,63.66,63.94,8601469
"2016-01-14",61.24,62.97,60.38,62.27,9146503
"2016-01-21",59,60.42,58.25,59.69,8797812
"2016-01-28",62.01,62.45,58.57,61.08,13216806
"2016-02-04",63.6,66.99,63.6,65.96,12568901
"2016-02-11",60.91,62.31,60.51,61.41,7010271
"2016-02-18",67.15,67.6,65.14,66.12,6175529
"2016-02-25",65.89,66.47,64.84,66.47,4276630
"2016-03-03",69.62,72.08,69.39,71.75,7171452
"2016-03-10",72.03,72.03,70.49,71.36,6219375
"2016-03-17",74.2,76.3,73.52,75.9,13311972
"2016-03-24",72.93,75.35,72.73,75.29,7029855
"2016-03-31",76.3,77.13,76.24,76.54,4346719
"2016-04-07",74.49,74.68,73.76,74.17,4794211
"2016-04-14",79.44,79.72,78.37,79.05,5307541
"2016-04-21",78.75,79.58,78.19,78.66,6497945
"2016-04-28",78.03,79.17,77.6,77.75,4843911
"2016-05-05",74.15,74.6,72.7,72.79,8064213
"2016-05-12",72.92,73.24,71.18,71.7,4432875
"2016-05-19",69.93,70.12,69.04,69.43,6131623
"2016-05-26",73.24,73.59,72.06,72.08,4146414
"2016-06-02",72.6,73.64,72.28,73.62,4615267
"2016-06-09",77.39,77.5,76.64,77.16,3784630
"2016-06-16",74.41,75.14,73.35,74.99,4064770
"2016-06-23",77.66,78.25,77.22,78.22,3600824
"2016-06-30",74.17,75.85,73.97,75.81,4695512
"2016-07-07",75.07,75.73,74.38,75.05,3080886
"2016-07-14",80.5,81,79.97,80.06,5441707
"2016-07-21",80.45,81.38,79.74,80.01,6492232
"2016-07-28",83.7,83.71,82.45,82.92,5065610
"2016-08-04",81.82,82.54,81.4,81.77,2407526
"2016-08-11",83,83.65,82.99,83.24,2229261
"2016-08-18",83.41,83.61,82.51,83.38,5003053
"2016-08-25",83.07,83.17,82.59,82.84,3082906
"2016-09-01",81.59,82,80.57,81.45,4102195
"2016-09-08",83.5,83.96,83.08,83.54,3400487
"2016-09-15",80.83,82.35,80.74,82.03,3517811
