"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume"
"2014-09-04",117.5,117.83,116.25,116.42,515848
"2014-09-11",114.62,115.24,113.87,115.19,769629
"2014-09-18",114.74,115.21,114.65,115.01,828254
"2014-09-25",113.61,114.11,113.34,113.77,1774719
"2014-10-02",113.67,114.42,113.05,114.12,786024
"2014-10-09",129.46,130.21,127.59,127.94,2846633
"2014-10-16",122.8,123.64,120.29,120.78,2742571
"2014-10-23",125.04,125.53,124.68,125,1130793
"2014-10-30",126.24,127.56,125.56,127.52,1150213
"2014-11-06",127.51,127.98,126.49,127.93,942145
"2014-11-13",129.75,129.78,128.98,129.31,763886
"2014-11-20",130.12,130.42,129.04,130.4,970573
"2014-12-04",140.54,142.56,139.88,140.68,1194729
"2014-12-11",137,139.26,137,138.02,1134267
"2014-12-18",138.24,140.44,137.56,140.43,1612076
"2015-01-08",144.98,146.74,144.69,146.36,1341982
"2015-01-15",141.55,142.1,140.47,140.67,1194335
"2015-01-22",142.85,145.54,142.38,145.17,1027160
"2015-01-29",140.6,140.65,138.75,140.31,1205013
"2015-02-05",143.76,146.23,143.07,145.29,1785511
"2015-02-12",144.27,144.71,142.18,142.99,1344512
"2015-02-19",143.44,143.6,142.68,143.39,1240975
"2015-02-26",148.1,148.75,147.47,148.54,994643
"2015-03-05",148.75,149.98,148.49,149.5,991025
"2015-03-12",141.52,143.34,141.3,143.04,1089719
"2015-03-19",144.84,145.21,143.94,144.93,1542010
"2015-03-26",142.25,144.21,142,143.21,1027906
"2015-04-02",142.2,142.91,141.03,141.23,1081821
"2015-04-09",141.15,142.62,140.73,142.51,672764
"2015-04-16",140.8,143.18,140.8,142.39,1251766
"2015-04-23",143.44,144.96,143.22,144.35,807905
"2015-04-30",142.18,142.18,140.05,140.87,1313043
"2015-05-07",141.5,144.75,141.5,142.8,1169197
"2015-05-14",139.76,141.12,139.12,141.04,810286
"2015-05-21",141.23,142.68,140.95,142.41,872881
"2015-05-28",141.26,142.34,140.38,141.43,944281
"2015-06-04",139.84,140.79,139.5,140.19,819152
"2015-06-11",140.62,141.29,140.14,140.86,986369
"2015-06-18",140.06,141.27,140.06,140.81,942303
"2015-06-25",141.79,142.36,141.09,141.91,908867
"2015-07-02",143.86,143.98,142.15,143.18,1116947
"2015-07-09",142.74,143.32,141.79,141.83,699094
"2015-07-16",147.39,148.33,146.9,148,624834
"2015-07-23",148.18,148.93,147.53,148.17,714802
"2015-07-30",151.77,152.49,151.42,152,1043087
"2015-08-06",153.27,153.36,148.68,150.19,1930290
"2015-08-13",147.78,148.29,146.75,147.6,734433
"2015-08-20",145.66,145.79,143.52,143.58,1572243
"2015-08-27",141.16,143.04,140.49,142.95,1190756
"2015-09-03",137,138.23,136.02,136.53,1025935
"2015-09-10",136.09,136.54,134.8,135.2,1116695
"2015-09-17",138.81,141.33,138.65,139.8,1071063
"2015-09-24",138.23,139.11,137.69,138.84,1231565
"2015-10-01",132.49,132.83,130.22,132.19,1314700
"2015-10-08",136.89,137.32,135.12,137.12,683044
"2015-10-15",136.58,137.09,135.49,137.07,971644
"2015-10-22",140.32,141.16,137.64,138.45,923498
"2015-10-29",142,143.76,142,143.23,792523
"2015-11-05",151.5,152.58,151.1,152.24,1156252
"2015-11-12",150.81,151.93,148.36,148.43,912940
"2015-11-19",151.13,151.41,149.52,149.96,932652
"2015-12-03",152.06,152.43,149.36,149.93,1127396
"2015-12-10",152.73,154.79,152.05,154.35,935915
"2015-12-17",156.11,157.5,155.35,155.91,1229556
"2015-12-24",155.84,156.56,155.48,155.91,269596
"2015-12-31",154.73,155.45,154.08,154.09,1087662
"2016-01-07",144.52,145.51,143.43,144.53,1586592
"2016-01-14",141.67,145.78,141.39,145.41,1738947
"2016-01-21",140.9,142.1,139.13,141.65,1118661
"2016-01-28",146.61,146.95,141.76,142.28,1447312
"2016-02-04",140.47,140.99,137.41,137.91,1808547
"2016-02-11",135.63,136.36,134.21,135.33,1581819
"2016-02-18",144.5,144.8,142.73,143.18,753212
"2016-02-25",147.74,148.98,146.89,148.67,826446
"2016-03-03",150.65,150.65,148.03,149.5,951927
"2016-03-10",147.69,148.96,147.24,148.51,1219323
"2016-03-17",149.52,149.7,146.12,147.71,1137841
"2016-03-24",148.49,149.28,147.74,149.13,642882
"2016-03-31",152.2,152.76,151.37,151.82,894995
"2016-04-07",154.84,155.57,153.7,155.03,934953
"2016-04-14",158.92,159.37,157.78,158.19,696168
"2016-04-21",158.7,159.96,157.88,158.73,871933
"2016-04-28",160.6,162.98,159.92,161.93,1275951
"2016-05-05",163.07,165.96,160.93,165.21,1823357
"2016-05-12",167.64,167.91,166.18,167.15,808170
"2016-05-19",164.58,165.37,162.25,163.94,1119893
"2016-05-26",166.85,167.48,166.72,167.19,635703
"2016-06-02",166.9,168.79,166.68,168.75,876599
"2016-06-09",170.25,171.64,169.7,170.23,760403
"2016-06-16",166.34,167.66,165.11,167.3,652081
"2016-06-23",171,172.2,170.25,172.19,769451
"2016-06-30",168.43,169.62,168.06,169.59,836345
"2016-07-07",171.89,173.24,171.61,173.17,859443
"2016-07-14",177.1,177.4,175.78,176.53,668450
"2016-07-21",175.41,175.81,174.07,174.86,443697
"2016-07-28",174.9,176.17,173.98,175.96,518195
"2016-08-04",168.75,171.63,166.35,171.53,2999768
"2016-08-11",175,177.27,174.09,176.71,936744
"2016-08-18",172.66,173.91,172.03,173.7,688959
"2016-08-25",173.04,175.42,173.04,174.14,805503
"2016-09-01",177.71,177.78,175.71,177.02,609017
"2016-09-08",177.02,177.84,176.14,176.65,743513
"2016-09-15",172.75,176.61,172.4,176.02,822875
