"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume"
"2014-04-17",101.58,101.69,100.38,101.31,697072
"2014-04-24",100.58,100.98,99.84,100.42,822544
"2014-05-01",98.64,99.85,98.34,99.12,780974
"2014-05-08",98.8,99.95,98.59,98.96,838797
"2014-05-15",99.3,99.54,98.11,99.4,1292325
"2014-05-22",100.26,100.77,99.92,100.29,760059
"2014-05-29",100.97,102.91,100.56,102.9,872801
"2014-06-05",104.21,105.38,103.58,104.67,832918
"2014-06-12",101.65,102.93,101.01,101.79,571182
"2014-06-19",100.7,100.99,100.06,100.91,1632663
"2014-06-26",101.15,101.16,99.72,100.38,664905
"2014-07-03",105.29,105.99,105.28,105.92,603576
"2014-07-10",103.59,104.31,103.32,103.97,562143
"2014-07-17",106.8,107.42,105.19,105.42,1492690
"2014-07-24",105.85,106.58,105.27,106.1,605959
"2014-07-31",105.52,105.68,103.67,103.69,651368
"2014-08-07",103.06,103.65,101.84,102.01,443431
"2014-08-14",103.74,105.35,103.74,104.95,632900
"2014-08-21",106.2,106.93,105.82,106.82,389502
"2014-08-28",105.69,105.99,105,105.39,423749
"2014-09-04",108.12,108.68,107.44,107.98,582533
"2014-09-11",106.74,107.27,106.3,107.27,311097
"2014-09-18",106.15,106.68,105.41,106.06,435798
"2014-09-25",103.71,103.72,102.03,102.03,402187
"2014-10-02",101.18,102.57,100.73,102.16,551064
"2014-10-09",100.87,101.08,98.4,98.44,570907
"2014-10-16",96.51,98.26,96.51,98.01,826271
"2014-10-23",101.64,103.87,101.39,102.68,611136
"2014-10-30",106.7,107.42,106.28,107.39,955000
"2014-11-06",102.21,102.96,101.92,102.93,1285056
"2014-11-13",99.69,100.51,98.8,99.56,1850400
"2014-11-20",100.7,101.05,99.73,100.64,991545
"2014-12-04",105.77,105.84,103.97,104.79,1685683
"2014-12-11",104.58,105.15,103.75,104,803685
"2014-12-18",103.71,106.5,103.71,106.44,2071318
"2015-01-08",114.58,116.41,114.36,115.57,2019001
"2015-01-15",115.11,115.83,114.5,114.92,1188790
"2015-01-22",116.39,119.21,115.71,118.87,1028558
"2015-01-29",115.9,116.23,114.56,116.12,1361400
"2015-02-05",117.42,117.42,115.53,116.01,1172364
"2015-02-12",116.71,117.1,115.68,116.84,867510
"2015-02-19",115.79,117.26,115.54,117.14,1509134
"2015-02-26",123.26,124.57,122.43,124.51,1640334
"2015-03-05",124.36,124.44,123,123.28,836007
"2015-03-12",122.42,124.28,122.02,124.28,720199
"2015-03-19",126.44,126.89,125.78,126.26,584375
"2015-03-26",125.72,126.14,124.18,125.8,1254138
"2015-04-02",126.25,126.47,124.91,125.21,794497
"2015-04-09",125.57,126.37,124.8,126.07,449845
"2015-04-16",125.2,125.64,124.52,125.49,372702
"2015-04-23",126.25,126.74,125.68,126.38,2730889
"2015-04-30",120.92,121.13,118.73,119.56,1387254
"2015-05-07",117.22,118.86,117.22,118.39,836162
"2015-05-14",117.21,117.72,116.66,117.69,2046946
