"","ANDV.Open","ANDV.High","ANDV.Low","ANDV.Close","ANDV.Volume"
"2014-05-15",54.46,54.68,53.66,54.58,2883750
"2014-05-22",54.28,55.08,54.06,54.42,1864226
"2014-05-29",55.78,56.84,55.4,56.82,1774855
"2014-06-05",57.62,58.8,57.62,58.3,2875186
"2014-06-12",56.81,58.14,56.35,57.54,2562241
"2014-06-19",59.94,61.13,59.9,60.69,3399647
"2014-06-26",58.64,60.44,58.32,59.94,3367837
"2014-07-03",60.77,61.18,60.07,60.59,931862
"2014-07-10",58.36,59.12,57.87,58.93,1831063
"2014-07-17",59.02,59.66,58.38,58.43,1788580
"2014-07-24",58.11,59.88,58.11,59.81,1951518
"2014-07-31",58.99,62.52,58.94,61.54,6454036
"2014-08-07",62.12,63.23,61.77,62.73,3536473
"2014-08-14",63.56,64.19,63.06,63.69,2498667
"2014-08-21",64.85,64.85,63.74,63.98,2495580
"2014-08-28",63.78,64.54,63.32,64.48,1938574
"2014-09-04",64.66,66.27,64.42,65.73,2987072
"2014-09-11",62.47,63.35,61.54,61.76,3774254
"2014-09-18",61.86,62.2,60.88,61.36,1546510
"2014-09-25",59.54,59.65,58.61,59.34,1826539
"2014-10-02",61.04,61.82,59.64,60.72,3061204
"2014-10-09",64.49,65.78,61.91,61.98,4319371
"2014-10-16",57.56,60.54,57.47,59.81,3282785
"2014-10-23",65.89,66.47,64.61,65.29,3158013
"2014-10-30",67.01,68.99,66.71,68.1,3842767
"2014-11-06",72.91,73.24,71.8,72.72,3512342
"2014-11-13",72.64,72.66,70.07,70.99,3813351
"2014-11-20",74.27,75.99,74.27,75.69,2826437
"2014-12-04",76.82,78.33,75.8,78.07,2553570
"2014-12-11",74.82,76.27,74.04,74.27,1744799
"2014-12-18",76.01,76.35,69.05,71.38,7255571
"2015-01-08",71.55,74.41,71.12,74.27,4010214
"2015-01-15",67.17,68.54,65.14,67.97,5968660
"2015-01-22",74.42,76.63,73.86,76.56,3207867
"2015-01-29",82.42,82.6,78.84,80.44,4606508
"2015-02-05",86.47,86.88,84.7,85.37,2398484
"2015-02-12",83.73,83.96,79.77,81.42,9003361
"2015-02-19",86.7,91.47,86.56,90.53,7912955
"2015-02-26",90.37,93.57,90.37,93.52,2434593
"2015-03-05",90.22,90.43,88.86,89.31,2343802
"2015-03-12",87.25,87.99,84.22,84.27,2966156
"2015-03-19",92.75,93.58,92.12,93.09,2004302
"2015-03-26",92.15,92.23,90.52,91.17,1565166
"2015-04-02",90.92,91.15,86.32,86.61,3188262
"2015-04-09",86.69,86.98,84.68,85.29,1691753
"2015-04-16",83.33,85.4,82.95,85.12,2257854
"2015-04-23",87.22,87.51,84.31,86.5,5490425
"2015-04-30",86.93,87.47,85,85.83,2807491
"2015-05-07",88.7,89.17,87.53,88.82,3425389
"2015-05-14",89.16,92.23,88.8,91.93,2421659
"2015-05-21",90.35,90.99,89.85,90.49,1181448
"2015-05-28",88.31,89.66,87.93,89.02,1615231
"2015-06-04",84,84.91,83.2,83.37,1951088
"2015-06-11",84.2,85.37,83.85,84.29,1342165
"2015-06-18",83.58,85.4,83.5,85.25,2072044
"2015-06-25",85.69,86.24,85.25,85.65,1192068
"2015-07-02",88.52,91.65,87.83,91.21,3905957
"2015-07-09",92.68,94.07,91.69,93.41,3402289
"2015-07-16",97.72,104.44,97.72,102.79,3184000
"2015-07-23",99.72,100.48,98.28,98.44,1368948
"2015-07-30",97.4,97.67,94.56,96.23,3143621
"2015-08-06",98.12,102.25,95.63,101.27,4544461
"2015-08-13",109.28,110.74,102.8,104.41,4705839
"2015-08-20",104,105.11,101.84,101.96,1691072
"2015-08-27",93.29,94.22,88.91,90.64,3792779
"2015-09-03",92.42,94.94,92.34,92.86,2748689
"2015-09-10",97.12,98.6,96.48,96.8,2452659
"2015-09-17",92.94,95.29,92.47,93.88,2639228
"2015-09-24",98.66,100.93,97.34,100.4,3063638
"2015-10-01",97.04,100.54,95.37,100.29,3104887
"2015-10-08",102.81,104.98,102.14,104.41,2548017
"2015-10-15",99.88,103.58,99.33,103.51,2036209
"2015-10-22",101,101.95,99.89,101.53,1750946
"2015-10-29",105.78,109.85,104.65,108.99,2891526
"2015-11-05",114.78,116.89,114.01,115.4,2125174
"2015-11-12",113.41,114.33,110.88,111.62,1878954
"2015-11-19",114.03,115.14,112.18,113.79,1741810
"2015-12-03",113.17,114.12,109.7,110.23,1765362
"2015-12-10",106.59,108.67,105.44,107.05,2796943
"2015-12-17",105.3,107.7,104.29,105.95,2072747
