"","QQQ.Open","QQQ.High","QQQ.Low","QQQ.Close","QQQ.Volume"
"2015-12-10",113.15,114.16,112.81,113.4,30154621
"2015-12-11",111.21,112.39,110.72,110.79,56022221
"2015-12-14",110.98,111.68,109.38,111.63,50803846
"2015-12-15",112.6,113.28,112.17,112.31,48428014
"2015-12-16",113.07,114.17,111.89,113.98,44944106
"2015-12-17",114.46,114.48,112.3,112.32,45668795
"2015-12-18",111.58,111.88,109.83,109.83,53746061
"2015-12-21",110.87,111.07,110.05,111.05,26432807
"2015-12-22",111.65,111.94,111.05,111.78,26540310
"2015-12-23",112.34,112.69,112.16,112.61,25656928
"2015-12-24",112.57,112.9,112.54,112.59,11480244
"2015-12-28",112.32,112.55,111.51,112.53,19183637
"2015-12-29",113.22,114.54,113.13,114.3,27725673
"2015-12-30",114.16,114.24,113.25,113.27,19520081
"2015-12-31",112.87,113.08,111.84,111.86,29886849
"2016-01-04",109.43,109.6,108.12,109.5,49956702
"2016-01-05",110.04,110.18,108.8,109.31,38795182
"2016-01-06",107.43,108.89,107.41,108.26,41891091
"2016-01-07",105.96,107.29,104.81,104.87,61386300
"2016-01-08",105.67,106.29,103.9,104.01,69344012
"2016-01-11",104.79,105.06,102.73,104.33,50024094
"2016-01-12",105.31,106.08,104.08,105.54,46734241
"2016-01-13",106,106.23,101.74,101.9,68304332
"2016-01-14",102.3,104.98,100.67,104.07,77613318
"2016-01-15",100.57,101.94,99.51,100.84,90999435
"2016-01-19",102.2,102.37,99.88,101.06,56360301
"2016-01-20",99.48,101.83,97.25,100.75,86461404
"2016-01-21",101.19,102.35,99.82,100.85,61371862
"2016-01-22",102.84,103.81,102.53,103.77,42068200
"2016-01-25",103.46,103.99,102.14,102.23,38437493
"2016-01-26",102.65,103.59,101.76,103.15,34571754
"2016-01-27",102.55,102.99,100.15,100.58,53545180
"2016-01-28",102.19,102.29,100.26,102,47202545
"2016-01-29",102,104.17,101.94,104.13,52514319
"2016-02-01",103.62,104.8,103.23,104.41,31860236
"2016-02-02",103.97,103.97,101.84,102.15,44671147
"2016-02-03",102.8,102.83,99.88,101.66,61319560
"2016-02-04",101.35,102.46,100.44,101.65,49189146
"2016-02-05",101.29,101.33,97.72,98.12,70675429
"2016-02-08",96.33,97.05,94.84,96.62,89800441
"2016-02-09",95.36,97.78,95.18,96.32,73531526
"2016-02-10",97.5,98.69,96.62,96.69,56751560
"2016-02-11",95.45,97.32,95.19,96.55,76709261
"2016-02-12",97.68,98.12,96.73,98.02,49115072
"2016-02-16",99.44,100.23,98.85,100.23,39415502
"2016-02-17",101.01,102.64,100.7,102.5,41628989
"2016-02-18",102.81,102.84,101.2,101.33,36014911
"2016-02-19",100.91,101.94,100.62,101.63,28271130
"2016-02-22",102.54,103.38,102.48,103.28,23815927
"2016-02-23",102.67,102.96,101.51,101.58,29768569
"2016-02-24",100.44,102.68,99.77,102.55,39935295
"2016-02-25",102.76,103.56,101.84,103.56,29277561
"2016-02-26",104.28,104.37,103.18,103.43,30809706
"2016-02-29",103.31,104.1,102.5,102.5,27402088
"2016-03-01",103.45,105.79,103.16,105.79,36708238
"2016-03-02",105.63,105.85,105.01,105.83,29126048
"2016-03-03",105.71,105.75,104.87,105.63,25377842
"2016-03-04",105.76,106.35,104.97,105.67,30987575
"2016-03-07",105.12,105.74,104.27,105.02,25794413
