"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume"
"2015-04-30",182.26,183.19,180.55,181.49,2136003
"2015-05-07",181.61,184.7,181,183.15,1681324
"2015-05-14",182.38,185.01,182.24,184.76,911745
"2015-05-21",184.21,185.32,183.05,183.54,1605101
"2015-05-28",183.54,184.75,182.92,183.82,966836
"2015-06-04",178.49,180.04,178,179.03,1256118
"2015-06-11",177.05,177.73,176.2,177.25,926392
"2015-06-18",180,182.83,179.6,181.89,1038980
"2015-06-25",174.04,174.43,172.33,172.36,1390171
"2015-07-02",176.02,179.11,174.42,174.72,1046761
"2015-07-09",179.16,179.92,177.47,178.12,1364396
"2015-07-16",182.22,183.9,181.94,183.43,1141100
"2015-07-23",182.23,182.4,179.35,181.38,1143793
"2015-07-30",185.79,187,184.62,186.14,647057
"2015-08-06",188.49,190.29,186.96,189.9,1390530
"2015-08-13",189.07,192.03,188.69,190.75,792355
"2015-08-20",192.39,193.86,191,192.21,1332562
"2015-08-27",183.49,186.92,181.45,185.73,1464240
"2015-09-03",177.78,179.15,177.07,177.92,1126613
"2015-09-10",174.45,176.63,174.12,175.06,1011720
"2015-09-17",183.32,188.3,181.97,184.88,1274923
"2015-09-24",183.22,184.67,179.74,181.23,1551877
"2015-10-01",184.68,186.17,183.62,185.9,1061020
"2015-10-08",193.81,195.4,192.34,194.95,955815
"2015-10-15",195.11,197.67,193.98,197.59,1024028
"2015-10-22",203.79,205.78,203.48,204.83,1514255
"2015-10-29",205.73,205.81,202.63,204.39,1090339
"2015-11-05",203.25,204.52,202.18,203,1171641
"2015-11-12",191.8,192.65,190,191.08,1125019
"2015-11-19",190.71,192.72,189.83,191.04,938174
"2015-12-03",182.69,183.99,180.55,181.69,2135055
"2015-12-10",187.41,188.39,184.93,185.03,955762
"2015-12-17",193.24,194.03,192.3,193.47,1053218
"2015-12-24",193.61,195.35,193.26,194.35,379488
"2015-12-31",195.27,196.33,193.57,194.44,1013466
"2016-01-07",192.92,193.84,191.39,191.56,1285764
"2016-01-14",184.71,187.93,183.55,185.66,1376199
"2016-01-21",182.76,184.04,180.11,182.7,1456765
"2016-01-28",187.11,188.59,185.61,186.79,1282742
"2016-02-04",187.96,188.68,186.05,187.58,1185610
"2016-02-11",178.53,182.25,178.13,181.49,1929685
"2016-02-18",186.52,189.98,186.43,189.26,858617
"2016-02-25",190.67,192.15,189.91,191.94,897157
"2016-03-03",196.27,197.55,193.35,197.41,1364532
"2016-03-10",198.87,199.88,195.99,198.02,1022849
"2016-03-17",200.79,206,200.04,205.13,1697225
"2016-03-24",200.37,201.73,199.78,201.44,731140
"2016-03-31",206.24,208.12,205.93,207.69,1439064
"2016-04-07",208.52,208.87,205.58,206.79,899478
"2016-04-14",207.72,208.37,205.8,207.95,1033515
"2016-04-21",203.56,204.48,199.1,199.29,1698735
"2016-04-28",202.97,205.17,202.92,203.66,756211
"2016-05-05",206.62,208.53,205.95,208.44,1102802
"2016-05-12",204.01,205.33,199.75,204.04,3067733
"2016-05-19",191.97,194.26,191.25,193.85,1912252
"2016-05-26",196.29,198.15,195,197.13,836406
"2016-06-02",197.26,198.3,196.11,197.4,1115031
"2016-06-09",201.3,202.75,200.01,201.65,824899
"2016-06-16",203.73,206.35,202.8,206.21,843204
"2016-06-23",209.78,210.44,208.47,209.09,730188
"2016-06-30",215.73,217.17,213.9,216.9,2072952
"2016-07-07",217.04,217.66,213.87,215.59,1235660
"2016-07-14",224.23,224.23,221.5,222.17,1159734
"2016-07-21",222.74,224.35,220.84,224.2,671574
"2016-07-28",221.81,225.75,221.62,224.07,923605
"2016-08-04",222.55,223.06,219.37,219.62,1037105
"2016-08-11",219.04,219.04,213.49,214.55,2212910
"2016-08-18",213.49,215.07,213.04,214.35,890760
"2016-08-25",214.39,217.53,214.32,215.55,1052150
"2016-09-01",214.89,216.65,214.26,216.02,881852
"2016-09-08",217.98,218.58,216.57,217.09,2414645
"2016-09-15",207.3,208.33,206.41,207.91,1244036
