"","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume"
"2014-10-09",37.52,37.91,37.18,37.24,9343828
"2014-10-16",35.59,36.44,35.38,36.32,9738832
"2014-10-23",37.58,37.76,37.38,37.42,6837730
"2014-10-30",38.09,38.72,38.06,38.66,13388970
"2014-11-06",38.48,38.78,38.33,38.72,6167276
"2014-11-13",39.1,39.24,38.71,38.94,6842248
"2014-11-20",38.83,39.32,38.82,39.1,6287096
"2014-12-04",40.3,41.15,40.2,40.66,14070910
"2014-12-11",41.45,42.01,41.33,41.56,10058296
"2014-12-18",40.78,40.82,39.63,40.02,17582942
"2015-01-08",41.16,41.65,41.01,41.24,13170548
"2015-01-15",40.3,40.45,39.6,39.79,8126602
"2015-01-22",40.68,41.42,40.44,41.37,23913056
"2015-01-29",44,44.65,43.78,44.52,12475860
"2015-02-05",44.36,44.88,44.36,44.82,7598672
"2015-02-12",45.54,45.97,45.04,45.91,7197558
"2015-02-19",46.58,46.89,46.5,46.58,6109176
"2015-02-26",47.15,47.41,47.04,47.28,6816352
"2015-03-05",46.64,46.98,46.53,46.82,5848750
"2015-03-12",45.98,46.76,45.92,46.69,7295344
"2015-03-19",48.38,49.6,48.19,48.88,22020618
"2015-03-26",47.68,47.88,46.83,47.54,10344304
"2015-04-02",46.71,47.32,46.61,47.2,8863018
"2015-04-09",47.65,47.99,47.25,47.96,7109621
"2015-04-16",48.23,48.48,48.16,48.24,5312499
"2015-04-23",48.55,49.7,48.28,49.43,15866051
"2015-04-30",50.63,50.68,49.43,49.58,8492048
"2015-05-07",48.74,49.55,48.72,49.35,5681417
"2015-05-14",49.98,50.59,49.67,50.56,7339742
"2015-05-21",50.94,51.45,50.78,51.33,5084042
"2015-05-28",51.84,51.94,51.44,51.81,5874382
"2015-06-04",51.87,52.18,51.57,51.72,6230805
"2015-06-11",52.81,53,52.44,52.49,6030167
"2015-06-18",53.5,54.28,53.4,54.11,10712142
"2015-06-25",54.09,54.45,54,54.07,5389863
"2015-07-02",54.03,54.7,53.95,54.24,5684667
"2015-07-09",54.07,54.5,53.88,54.05,7681013
"2015-07-16",56.06,56.16,55.66,55.74,7305520
"2015-07-23",56.98,57,56.16,56.56,12439229
"2015-07-30",57.3,58.15,57.01,58.06,7337948
"2015-08-06",59.13,59.2,57.09,57.23,11064470
"2015-08-13",56.52,57.25,56.51,56.85,6731474
"2015-08-20",57,57.15,55.77,55.81,7411657
"2015-08-27",54.76,56.21,54.41,55.95,15871078
"2015-09-03",55.72,55.76,54.48,54.69,7862168
"2015-09-10",54.34,55.69,54.33,55.37,8881820
"2015-09-17",57.32,58.1,57.04,57.28,7408022
"2015-09-24",57.38,58.54,57.17,58.37,9945095
"2015-10-01",56.99,57.5,55.89,57.48,8489320
"2015-10-08",58.78,59.71,58.39,59.46,6795169
"2015-10-15",58.95,59.83,58.08,59.69,9738041
"2015-10-22",60.96,61.71,60.17,61.49,9165162
"2015-10-29",63.42,63.5,61.71,62.5,14015772
"2015-11-05",62.29,62.46,62.01,62.28,6131517
"2015-11-12",61.34,61.65,60.75,61.07,6744767
"2015-11-19",61.8,61.93,61.39,61.46,5140906
"2015-12-03",61.37,61.45,59.15,59.55,12056103
"2015-12-10",61.13,62.14,61.01,61.87,6623896
"2015-12-17",60.66,60.83,59.47,59.52,9079430
"2015-12-24",60.37,60.51,60.17,60.32,2215418
"2015-12-31",60.65,60.81,60.02,60.03,4960875
