"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume"
"2014-11-20",72.24,74.39,71.92,74.24,4667505
"2014-12-04",63.36,64.19,62.78,63.25,5625970
"2014-12-11",57.57,58.94,56.86,57.04,5948951
"2014-12-18",62.32,62.6,59.56,62.15,7964538
"2015-01-08",59.39,61.4,58.71,60.87,3657166
"2015-01-15",61.02,61.2,59.56,60,5434329
"2015-01-22",62.69,63.77,61.41,63.76,4532335
"2015-01-29",61.72,61.99,59.73,61.23,4088070
"2015-02-05",68.01,69.07,67.59,68.37,3797946
"2015-02-12",65.98,67.57,63.82,64.58,7348168
"2015-02-19",63.53,66.79,63.23,66.63,5817997
"2015-02-26",67.19,67.19,65.27,65.74,3952902
"2015-03-05",66.66,66.66,65.15,65.43,3790454
"2015-03-12",61.53,61.55,60.07,60.17,3322307
"2015-03-19",60.1,60.63,59.38,59.88,2816205
"2015-03-26",60.98,61.4,59.58,59.81,3517144
"2015-04-02",60.23,61.58,60.14,61.44,2275876
"2015-04-09",65.47,67,65.4,66.47,3849150
"2015-04-16",70.86,71.77,70.33,70.81,3321260
"2015-04-23",68.13,69.24,68.05,68.35,2252772
"2015-04-30",68.91,69.24,67.25,68.4,2921346
"2015-05-07",66.2,66.22,64.15,65.08,4798598
"2015-05-14",62.93,63.55,62.42,62.63,2777674
"2015-05-21",62.08,62.62,61.61,62.17,2890543
"2015-05-28",60.53,60.71,58.83,59.79,4111492
"2015-06-04",58.56,58.75,58.01,58.25,3108698
"2015-06-11",58.91,59.13,57.72,58.15,2996872
"2015-06-18",58.03,58.4,57.13,57.23,2297908
"2015-06-25",58.78,59,57.61,57.8,2641533
"2015-07-02",56.2,56.99,56.11,56.78,2303062
"2015-07-09",54.6,54.97,53.82,53.83,2464608
"2015-07-16",53.85,53.9,52.52,52.67,2780900
"2015-07-23",47.34,47.5,46.32,47.35,4511130
"2015-07-30",46.58,47.18,45.96,46.48,4823231
"2015-08-06",44.39,46.9,43.04,46.6,6176508
"2015-08-13",48.91,49.66,47.8,47.9,6749208
"2015-08-20",45.93,46.49,44.51,44.56,5394374
"2015-08-27",40.68,43.67,40.44,42.79,7317385
"2015-09-03",43.37,45.11,42.72,43.22,4580793
"2015-09-10",41.5,41.56,40.15,40.84,7536165
"2015-09-17",43.07,43.78,41.89,41.99,7906623
