"","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume"
"2013-04-04",65.73,66.06,65.35,65.59,2513335
"2013-04-11",66.81,67.15,66.67,66.85,1280714
"2013-04-18",64.56,64.59,63.35,63.7,1841474
"2013-04-25",64.5,66.28,64.46,65.64,2301086
"2013-05-02",65.53,66.5,65.33,65.78,1407243
"2013-05-09",66.45,67.48,66.32,67.01,1190874
"2013-05-16",69.12,69.27,68.66,69.06,1920436
"2013-05-23",67.17,67.74,66.95,67.24,1631497
"2013-05-30",67.24,67.89,67.17,67.35,1018448
"2013-06-06",65.79,66.38,65.59,66.36,1323120
"2013-06-13",66.32,67.79,65.81,67.72,783003
"2013-06-20",65.72,65.86,64.6,64.75,1733739
"2013-06-27",64.93,65.06,64.55,64.72,1302920
"2013-07-11",66.98,67.48,66.66,67.38,1058643
"2013-07-18",69.37,70.24,69.08,70,1802855
"2013-07-25",70.72,70.95,70.36,70.87,852267
"2013-08-01",70.89,71.44,69.83,71.22,1038835
"2013-08-08",70.98,71.32,70.64,70.9,928163
"2013-08-15",69.97,70.15,68.76,68.91,969770
"2013-08-22",68.03,69.08,68.03,68.78,613949
"2013-08-29",66.5,67.3,66.44,66.91,955752
"2013-09-05",67.34,68,67.1,67.79,1038093
"2013-09-12",69.46,69.73,69.12,69.5,1421499
"2013-09-19",71.74,71.94,71.56,71.63,826660
"2013-09-26",68.71,68.71,67.95,68.4,1639416
"2013-10-03",67.49,67.85,66.93,67.34,1095847
"2013-10-10",69.04,69.63,68.76,69.42,1297872
"2013-10-17",71.05,72.62,70.9,72.55,2322917
"2013-10-24",73.43,74.26,73.09,74.02,2494613
"2013-10-31",74.16,74.33,73.32,73.86,1821898
"2013-11-07",73.89,73.89,72.85,72.9,1906169
"2013-11-14",74,74.57,73.75,74.48,932486
"2013-11-21",74.08,74.32,73.9,74.14,838671
"2013-12-05",73.19,73.69,73.08,73.16,762200
"2013-12-12",72.53,72.62,71.81,71.84,1422357
"2013-12-19",73.62,73.99,73.05,73.85,1544171
"2013-12-26",75,75.55,74.93,75.39,519533
"2014-01-02",75.12,75.12,74.4,74.63,1204442
"2014-01-09",77.23,77.35,76.65,76.99,2129195
"2014-01-16",78.23,78.87,78.09,78.68,951836
"2014-01-23",77.54,79,76.14,77.78,2333338
"2014-01-30",77.28,78.45,77.21,78.14,2097340
"2014-02-06",77.28,78.32,77.17,78.21,2302092
"2014-02-13",80.52,82.93,80.45,82.75,2446517
"2014-02-20",81.59,82.84,81.18,82.65,1428144
"2014-02-27",81.12,81.32,80.65,81.17,1552771
"2014-03-06",81.28,81.42,80.71,80.95,1024731
"2014-03-13",82.17,82.27,81.1,81.22,1970650
"2014-03-20",81.07,81.33,80.52,81.3,912316
