"","TDG.Open","TDG.High","TDG.Low","TDG.Close","TDG.Volume"
"2015-01-29",202.62,207.07,201.12,206.2,582022
"2015-02-05",210.62,211.52,208.9,211.02,302568
"2015-02-12",207.94,208.6,206.04,206.66,384460
"2015-02-19",209.43,212.29,208.59,211.98,247936
"2015-02-26",223.44,223.44,220.95,221.58,455045
"2015-03-05",215.19,216.66,213.68,215.34,256240
"2015-03-12",214.94,216.54,214.1,216.28,285924
"2015-03-19",216.74,217.58,213.51,214.79,202899
"2015-03-26",213.71,215.86,212.72,215.18,426682
"2015-04-02",218.99,220.82,218.37,220.25,209967
"2015-04-09",221.55,222.33,220.45,221.95,277611
"2015-04-16",221.83,222.58,221.01,222.08,172760
"2015-04-23",220.98,223.69,220.98,221.92,150786
"2015-04-30",212.26,213.96,211.33,212.13,275346
"2015-05-07",219.97,223.19,218.33,222.07,694487
"2015-05-14",224.98,230.08,224.08,229.22,398636
"2015-05-21",228.36,229,227.64,228.91,144735
"2015-05-28",229,229,226.68,227.49,166421
"2015-06-04",225.94,226.9,224.57,225.18,221270
"2015-06-11",226.94,228.67,226.38,227.84,183048
"2015-06-18",228.23,229.22,228.23,228.79,185837
"2015-06-25",228.73,229.09,227.31,228.49,189347
"2015-07-02",227.77,229,227.16,227.78,161625
"2015-07-09",224.33,226.64,223.53,223.64,473652
"2015-07-16",229.13,231.59,228.21,231.08,536880
"2015-07-23",225.92,230.84,225.59,225.78,338091
"2015-07-30",221,222.47,219.42,219.76,653934
"2015-08-06",240.31,240.81,235.83,238.18,547279
"2015-08-13",233.88,239.79,232.86,239.02,256724
"2015-08-20",240.21,240.21,232.6,232.79,408772
"2015-08-27",230.3,237.51,228.24,235.71,373905
"2015-09-03",231.06,232.38,228.66,229.48,461217
"2015-09-10",227.73,230.25,226.27,227,298815
"2015-09-17",229.81,234.97,229.6,232.49,360644
"2015-09-24",224.1,225.73,221,224.71,370216
"2015-10-01",211.62,216.75,210.26,215.62,514631
"2015-10-08",215.37,220.31,215.26,219.62,277487
"2015-10-15",212.18,215.29,212.03,215.06,440697
"2015-10-22",217.04,222.42,216.31,218.97,482415
"2015-10-29",216.37,222.92,216.37,222.72,388848
"2015-11-05",228.23,229.85,224.42,227.41,368249
"2015-11-12",225.92,234.75,225.65,229.5,1258335
"2015-11-19",231.67,236.2,231.67,235.9,473787
"2015-12-03",237.43,238.36,233.38,234.39,193746
"2015-12-10",231,231.97,228.92,230.72,242316
"2015-12-17",221.63,223,218.83,219.68,517770
"2015-12-24",227.25,227.97,225.99,226.79,85534
"2015-12-31",226.76,229.32,226.76,228.45,239498
"2016-01-07",226.48,229.51,226.48,227.28,862545
"2016-01-14",221.26,227.57,218.26,226.55,813417
"2016-01-21",218.26,219.94,215,216.46,673998
"2016-01-28",221.73,224.03,218.31,219.29,679810
"2016-02-04",222.68,227.59,222.28,227.35,384281
"2016-02-11",188.44,190.72,184.7,190.2,2048221
"2016-02-18",209.28,210.63,207.72,208.84,551665
"2016-02-25",215.11,218.6,213.12,215.25,428017
"2016-03-03",218.61,222.2,216.15,219.63,404243
"2016-03-10",220.8,221.1,215.69,218.39,423778
"2016-03-17",219.14,230,218.5,226.8,1250516
"2016-03-24",219.71,220.38,215.87,219.68,355123
"2016-03-31",220.93,221.63,218.69,220.34,434261
"2016-04-07",221.26,224.83,221.26,224.22,367909
"2016-04-14",225.23,226.15,223.15,225.14,324932
"2016-04-21",229.88,230.53,228.09,228.46,434411
"2016-04-28",231.46,233.18,229.65,229.91,361137
"2016-05-05",227.37,228.44,226.26,227.41,388913
"2016-05-12",248.8,249.97,244.49,247,754850
"2016-05-19",247.55,248.64,244.36,247.73,363639
"2016-05-26",256.25,256.25,253.35,254.78,533400
"2016-06-02",266.37,267.31,263.31,265.84,9761017
"2016-06-09",264.1,266.54,263.95,266.23,498510
